,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
0,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Men,Qualification,2021-04-16,/api/v1/category_rounds/6164/results,/api/v1/events/1187/result/3
1,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Men,Semi-Final,2021-04-16,/api/v1/category_rounds/6374/results,/api/v1/events/1187/result/3
2,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Men,Final,2021-04-16,/api/v1/category_rounds/6376/results,/api/v1/events/1187/result/3
3,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Women,Qualification,2021-04-16,/api/v1/category_rounds/6165/results,/api/v1/events/1187/result/7
4,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Women,Semi-Final,2021-04-16,/api/v1/category_rounds/6375/results,/api/v1/events/1187/result/7
5,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1187,2021,Meiringen,Boulder,Women,Final,2021-04-16,/api/v1/category_rounds/6377/results,/api/v1/events/1187/result/7
6,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-21,/api/v1/category_rounds/6174/results,/api/v1/events/1190/result/3
7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-21,/api/v1/category_rounds/6454/results,/api/v1/events/1190/result/3
8,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Men,Final,2021-05-21,/api/v1/category_rounds/6456/results,/api/v1/events/1190/result/3
9,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7
10,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Semi-Final,2021-05-21,/api/v1/category_rounds/6455/results,/api/v1/events/1190/result/7
11,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Final,2021-05-21,/api/v1/category_rounds/6457/results,/api/v1/events/1190/result/7
12,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3
13,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Semi-Final,2021-05-28,/api/v1/category_rounds/6500/results,/api/v1/events/1192/result/3
14,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Final,2021-05-28,/api/v1/category_rounds/6502/results,/api/v1/events/1192/result/3
15,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-28,/api/v1/category_rounds/6177/results,/api/v1/events/1192/result/7
16,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Women,Semi-Final,2021-05-28,/api/v1/category_rounds/6501/results,/api/v1/events/1192/result/7
17,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Women,Final,2021-05-28,/api/v1/category_rounds/6503/results,/api/v1/events/1192/result/7
