,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
0,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Men,Qualification,2022-04-08,/api/v1/category_rounds/6844/results,/api/v1/events/1233/result/3
1,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Men,Semi-final,2022-04-08,/api/v1/category_rounds/7417/results,/api/v1/events/1233/result/3
2,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Men,Final,2022-04-08,/api/v1/category_rounds/7419/results,/api/v1/events/1233/result/3
3,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Women,Qualification,2022-04-08,/api/v1/category_rounds/6845/results,/api/v1/events/1233/result/7
4,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Women,Semi-final,2022-04-08,/api/v1/category_rounds/7418/results,/api/v1/events/1233/result/7
5,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,1233,2022,Meiringen,Boulder,Women,Final,2022-04-08,/api/v1/category_rounds/7420/results,/api/v1/events/1233/result/7
6,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Qualification,2022-05-06,/api/v1/category_rounds/6848/results,/api/v1/events/1235/result/3
7,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Semi-final,2022-05-06,/api/v1/category_rounds/7423/results,/api/v1/events/1235/result/3
8,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Men,Final,2022-05-06,/api/v1/category_rounds/7425/results,/api/v1/events/1235/result/3
9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Qualification,2022-05-06,/api/v1/category_rounds/6849/results,/api/v1/events/1235/result/7
10,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7
11,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Final,2022-05-06,/api/v1/category_rounds/7426/results,/api/v1/events/1235/result/7
12,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Men,Qualification,2022-05-06,/api/v1/category_rounds/6850/results,/api/v1/events/1235/result/2
13,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Men,Final,2022-05-06,/api/v1/category_rounds/7421/results,/api/v1/events/1235/result/2
14,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Qualification,2022-05-06,/api/v1/category_rounds/6851/results,/api/v1/events/1235/result/6
15,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Speed,Women,Final,2022-05-06,/api/v1/category_rounds/7422/results,/api/v1/events/1235/result/6
16,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Boulder,Men,Qualification,2022-05-20,/api/v1/category_rounds/6852/results,/api/v1/events/1236/result/3
17,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Boulder,Men,Semi-final,2022-05-20,/api/v1/category_rounds/7427/results,/api/v1/events/1236/result/3
18,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Boulder,Men,Final,2022-05-20,/api/v1/category_rounds/7429/results,/api/v1/events/1236/result/3
19,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Boulder,Women,Qualification,2022-05-20,/api/v1/category_rounds/6853/results,/api/v1/events/1236/result/7
20,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1236,2022,Salt Lake City,Boulder,Women,Semi-final,2022-05-20,/api/v1/category_rounds/7428/results,/api/v1/events/1236/result/7
