name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Komondi Csaba,NAN,11.0,7.95,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Osipov Maksym,NAN,12.0,8.03,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,8.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Swirk Lukasz,NAN,13.0,8.16,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Yekimenko Mikhail,NAN,14.0,8.66,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Chen Xiaojie,NAN,15.0,9.16,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Tzeng  Jiun-Jie,NAN,16.0,FALL,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,567,2009,Qinghai,Speed,Men,2009-06-30,/api/v1/events/567/result/2,2009-06-30_Qinghai_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-06-30_Qinghai_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1160/results,,,False,FALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Qinghai,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Hroza Libor,NAN,1.0,14.94,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,True,15.07,True,14.95,True,14.94,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Osipov Maksym,NAN,2.0,18.51,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,True,19.98,True,15.38,False,18.51,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Swirk Lukasz,NAN,3.0,15.39,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,True,14.8,False,15.95,,,True,15.39,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Oleksy Tomasz,NAN,4.0,23.01,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,True,18.07,False,FALL,,,False,23.01,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
