name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
ABE Momoko,1581.6369262010794,18,4.54,8.42,17.17,1511.93,1596.18
Koller Anne-Sophie,1581.3223745051594,72,1.13,7.54,20.08,1488.17,1681.52
ITO Futaba,1579.400400400457,15,5.29,6.8,16.93,1504.97,1590.15
Shalagina Olga,1578.1194293590347,29,2.69,7.86,10.55,1507.84,1600.77
Mackenzie Oceania,1577.6490921765303,25,3.38,5.99,24.48,1498.69,1584.4
Sanders Anastasia,1576.9776819982526,17,4.96,9.77,11.24,1504.79,1584.36
Pötzi Mattea,1576.787898193638,30,2.33,7.47,20.17,1491.31,1576.79
DOUMONT Heloïse,1570.394483388717,18,3.19,8.52,12.17,1511.63,1570.39
Arc Nolwenn,1569.38948960176,42,1.65,6.19,24.86,1494.35,1571.78
Saurwein Katharina,1569.2186684468747,39,1.77,5.71,11.13,1510.56,1583.63
REKAR Rosa,1568.8559561575207,8,8.16,7.46,6.75,1513.62,1568.86
Söderlund Matilda,1568.8140869404915,16,4.3,7.56,13.5,1496.33,1576.76
Rekar Rosa,1568.166341710702,16,3.39,7.98,13.44,1497.92,1568.17
Copar Sara,1567.8103858069219,24,2.83,6.52,20.46,1500.38,1569.34
POUGET Camille,1566.329533658038,15,4.42,6.15,13.53,1512.25,1566.33
Rosen Kajsa,1566.309197068582,19,3.49,8.39,22.42,1497.57,1580.13
van Bergen Nikki,1565.5701217255482,88,0.75,6.19,20.19,1437.5,1599.82
Meshkova Viktoriia,1564.5032738516672,19,3.39,7.36,19.95,1503.95,1564.5
Avezou Zélia,1564.1815629820067,13,5.15,6.03,17.15,1502.13,1566.96
KRAMPL Mia,1563.1667281856874,18,3.51,9.66,11.83,1489.88,1563.17
MACKENZIE Oceania,1561.0429607525443,10,6.1,6.11,9.4,1501.23,1563.73
Skusek Lana,1560.2136830059526,35,1.72,6.98,21.97,1499.28,1581.99
Levet Sandrine,1557.3636277565506,12,4.78,6.05,6.75,1503.89,1557.36
Gejo Stasa,1556.3929227850597,22,2.56,6.32,27.36,1490.12,1557.02
PÖTZI Mattea,1555.6610026624287,21,2.65,9.03,12.38,1512.22,1575.68
AVEZOU Zélia,1554.6782908209332,9,6.08,7.0,10.56,1512.73,1554.68
HILY Manon,1553.8447760313884,13,4.27,8.28,14.23,1504.42,1555.56
Doumont Heloïse,1553.5253009364549,42,1.27,7.06,22.62,1486.36,1559.45
JANICOT Hélène,1552.9891122766498,11,4.82,5.72,11.91,1506.87,1552.99
Arthaud Nina,1552.1452937309848,14,3.72,7.06,21.21,1511.56,1558.74
RABOUTOU Brooke,1549.5578375536782,5,12.11,3.04,3.0,1513.82,1560.55
LUO ZHILU,1549.5136119615095,17,3.95,8.95,24.0,1503.06,1567.23
Bertone Oriane,1548.4172528571698,13,3.72,5.42,20.62,1506.27,1548.42
Condie Kyra,1547.9632882800258,31,1.55,5.48,28.81,1483.76,1566.67
Mcneice Erin,1547.931094083462,12,3.9,6.68,26.33,1492.31,1547.93
COPAR Sara,1547.5059758347516,16,2.97,7.05,17.38,1489.93,1547.51
schöpf Bettina,1547.0364342203118,32,1.47,7.12,12.78,1481.49,1556.4
ZHANG Yuetong,1546.6005232519922,9,4.59,10.75,6.67,1508.51,1546.6
Stotz Rebekka,1546.3688818499663,46,1.01,6.02,19.39,1491.8,1555.99
van der Meer Lynn,1545.4458378810177,32,1.42,7.37,24.31,1497.65,1567.79
Coxsey Shauna,1543.7980693620307,9,4.87,8.54,15.44,1514.71,1545.55
Franko Lucka,1542.5417843899343,16,2.66,6.02,11.75,1501.3,1542.54
OBLASSER Flora,1542.4612312257316,13,3.0,8.46,11.69,1512.66,1546.95
KIM Chaeyeong,1542.4434638600965,12,3.54,6.0,18.33,1505.52,1551.5
Thévenet Marine,1541.6321282760066,28,1.49,6.85,15.96,1482.37,1546.28
Moroni Camilla,1540.8465762031203,14,2.92,6.52,22.93,1500.14,1542.18
Gibert Fanny,1540.4623102333196,26,1.56,5.31,22.42,1503.04,1547.78
Sa Sol,1539.7211031019112,32,1.24,4.81,21.75,1485.43,1547.73
Klingler Petra,1539.1775754288756,19,2.06,6.4,25.53,1504.03,1553.08
TOTKOVA Aleksandra,1537.747550735765,12,3.15,8.63,13.67,1501.66,1554.54
Lavarda Jenny,1537.6673425821023,122,0.31,6.35,16.57,1498.63,1600.7
Choong Katherine,1537.2238534656378,72,0.52,6.81,26.03,1459.68,1577.27
Tarkus Lucija,1534.561392587799,23,1.5,6.96,24.26,1493.01,1540.99
TAKAO Tomona,1534.428242871513,14,2.46,6.78,18.14,1499.23,1534.43
MACIÀ MARTÍN Geila,1532.7700108599822,10,3.28,6.14,19.2,1499.89,1538.42
Sanders Annie,1532.4417052838005,3,15.18,2.21,3.33,1517.48,1545.53
Hafsaas Tina Johnsen,1532.1327432752698,81,0.4,6.68,25.6,1449.59,1564.28
Kipriianova Ekaterina,1531.0209839872418,8,3.88,6.44,22.38,1510.03,1531.02
Hammelmüller Eva Maria,1530.43748035165,21,1.45,6.53,28.19,1497.88,1540.03
Serrière Julia,1530.0666520143332,20,1.5,6.49,20.55,1489.8,1530.07
KOIKE Hana,1529.7323640754253,15,1.98,8.85,21.27,1496.57,1544.16
