name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Jaubert Anouck,1892.2511079613141,120,3.2,6.79,4.38,1504.1,1914.81
Miroslaw Aleksandra,1842.288715378247,57,6.14,6.9,3.68,1502.12,1849.71
Kaplina Iuliia,1833.2041035644593,104,3.25,8.79,4.01,1491.76,1894.8
Krasavina Mariia,1820.6551817899285,114,2.64,7.7,4.58,1506.22,1860.56
Kalucka Natalia,1786.0946589861778,51,5.69,5.11,6.24,1507.13,1790.25
Kalucka Aleksandra,1782.9576302835262,53,5.4,6.23,5.85,1515.21,1786.25
Tsyganova Anna,1758.2946360271621,84,3.07,7.18,6.81,1496.66,1777.83
Susanti Rahayu Aries,1748.5244541479374,25,10.35,4.86,3.92,1518.92,1758.74
Rudzinska Aleksandra,1747.1576889054404,38,6.5,6.09,4.68,1503.51,1747.16
Levochkina  Yuliya,1717.5884947486095,74,2.95,7.34,5.26,1478.77,1735.08
DENG LIJUAN,1715.8761677757307,24,9.14,5.71,3.75,1516.49,1719.26
Hunt Emma,1715.260270857862,29,7.69,4.22,5.52,1505.69,1722.88
Gaidamakina Alina,1700.396773329176,64,3.13,7.96,5.75,1497.38,1754.59
SONG YiLing,1699.079521972371,33,6.34,8.08,7.76,1491.17,1709.2
MADE RITA KUSUMA DEWI DESAK,1686.5693366675227,23,8.11,8.56,5.52,1515.42,1709.02
SALLSABILLAH RAJIAH,1682.3892804728089,30,5.81,6.08,7.13,1507.72,1684.18
JEONG Jimin,1669.737435163135,31,5.44,6.03,7.81,1494.61,1669.74
Alekseeva Kseniia,1659.1912979070657,34,4.76,7.36,4.88,1507.27,1661.74
Ivanova Elizaveta,1656.827665641978,36,4.52,8.4,9.44,1507.96,1670.8
HUNT Emma,1652.12358220849,14,11.44,2.76,2.64,1514.64,1660.2
Timofeeva Elena,1634.5489313719463,50,2.38,8.59,11.98,1485.27,1644.92
NIU DI,1628.6819785910975,24,4.8,7.7,8.42,1517.16,1628.68
KALUCKA Natalia,1625.9865669357134,16,8.06,4.68,4.44,1513.28,1628.94
Chudziak Patrycja,1623.1557985467862,89,1.28,7.74,10.65,1478.44,1676.19
Marenych Alla,1615.0094412339618,66,1.84,6.57,10.41,1471.61,1621.7
Buczek Klaudia,1614.5496301674705,99,1.16,8.38,8.61,1468.89,1703.67
Remizova Elena,1612.9525216322047,26,4.31,7.13,12.38,1512.42,1623.48
Ropek Edyta,1612.4514834328077,114,0.99,8.29,7.47,1514.26,1712.92
MIROSLAW Aleksandra,1612.1278695579072,10,12.62,3.21,2.0,1516.0,1626.24
DENG Lijuan,1610.5625770408262,11,10.05,3.29,4.0,1512.47,1610.56
ZHOU Yafei,1608.831383879131,12,9.56,4.83,4.17,1514.99,1614.71
