name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Garnbret Janja,2005.9882330897299,74,6.84,5.94,1.62,1517.01,2005.99
Noguchi Akiyo,1991.2064809359451,267,1.84,6.63,3.07,1498.07,2017.14
Coxsey Shauna,1959.2836110003448,147,3.12,6.53,3.51,1497.4,1959.28
Stöhr Anna,1948.2811513640272,186,2.41,7.13,3.83,1516.69,1962.89
Puccio Alex,1883.5898720986097,110,3.49,7.33,4.17,1510.1,1896.08
Nonaka Miho,1874.8428523308135,137,2.74,6.47,4.47,1497.54,1921.21
Wurm Juliane,1800.3610023103454,113,2.66,7.38,6.61,1516.34,1833.11
Grossman Natalia,1785.167165446326,50,5.7,7.75,4.42,1516.0,1797.15
Gibert Fanny,1763.9926532277225,113,2.34,6.29,8.37,1515.02,1802.15
Abramchuk Yulia,1746.1671255576252,72,3.42,8.04,6.85,1507.52,1746.17
Le Neve Melissa,1741.5298066275784,125,1.93,7.4,6.66,1490.98,1788.24
Markovic Mina,1740.0748925734767,89,2.7,8.3,7.98,1509.63,1742.77
Gejo Stasa,1737.5197199303336,79,3.01,7.4,7.01,1503.44,1748.09
Kim Jain,1737.282722151773,72,3.3,8.43,8.4,1489.64,1753.92
Oda Momoka,1735.4469646442797,48,4.91,5.98,7.35,1511.22,1745.45
Raboutou Brooke,1734.3542093846554,45,5.21,6.43,7.07,1490.64,1734.35
Klingler Petra,1732.1524257235312,135,1.72,8.09,9.79,1501.87,1770.67
Graftiaux Chloé,1729.6160724311858,61,3.76,7.77,8.25,1508.42,1730.91
Gros Natalija,1727.3054305379208,70,3.25,7.79,6.36,1502.79,1727.31
Johnson Alex,1719.5731388663962,61,3.6,7.51,7.62,1513.29,1759.84
Mascarenas Megan,1714.5016978361925,33,6.5,9.64,6.42,1501.44,1736.81
Shalagina Olga,1713.7002094493148,58,3.68,7.63,6.76,1504.82,1718.46
Saurwein Katharina,1710.1544548606894,147,1.43,7.22,9.88,1504.4,1710.15
Bertone Oriane,1699.0639606580849,24,8.29,6.19,9.33,1499.99,1699.06
Kadic Katja,1683.3251161275948,54,3.39,8.35,8.37,1510.3,1689.3
Pilz Jessica,1682.6872013169843,61,2.99,7.48,9.48,1502.39,1705.59
Ito Futaba,1672.4348276366015,40,4.31,7.4,7.5,1504.89,1672.43
Sa Sol,1671.4087091832166,83,2.07,8.35,10.71,1498.4,1671.41
GROSSMAN Natalia,1666.851789741589,15,11.12,3.08,2.13,1510.38,1666.85
Danion Juliette,1657.349157437021,32,4.92,9.11,5.44,1491.32,1657.35
Retschy Monika,1656.6617850150105,85,1.84,7.23,11.81,1513.62,1662.11
Meul Hannah,1653.1177070941333,37,4.14,6.43,13.73,1507.15,1653.12
Sanders Anastasia,1651.7161790811886,20,7.59,5.69,8.7,1513.86,1651.72
Chereshneva Yana,1647.8149274908221,36,4.11,7.61,8.75,1509.88,1647.81
Tracy Michaela,1642.0964916367363,39,3.64,7.6,10.05,1484.5,1642.1
Sandoz Mélanie,1640.9353965148637,86,1.64,8.07,11.72,1508.57,1642.79
Mackenzie Oceania,1640.4010645191697,36,3.9,7.86,12.67,1493.5,1644.34
Moroni Camilla,1637.9544888357693,34,4.06,8.9,10.59,1509.75,1643.55
Chevrier Anne-Laure,1630.9978711441138,82,1.6,8.22,11.38,1489.58,1647.44
Kipriianova Ekaterina,1630.1055270783113,37,3.52,7.17,12.27,1505.59,1630.11
Caulier Chloe,1625.7605618138434,77,1.63,7.34,14.96,1514.24,1660.95
Gallyamova Anna,1624.1902483964607,53,2.34,8.27,10.64,1488.43,1630.44
