name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Vaitsekhovskii Evgenii,1685.9875363197982,24,8.18,5.75,2.96,1514.51,1696.3
Sinitcyn Sergei,1673.8730231160478,24,7.08,7.28,3.54,1516.0,1673.87
Escobar Manuel,1618.3937024557188,20,6.48,7.81,5.5,1510.03,1629.63
Kosterin Alexander,1616.1960570596284,20,6.06,6.38,5.95,1498.84,1621.24
Styenkovyy Maksym,1605.958184609729,17,5.93,7.51,5.94,1506.24,1605.96
Zhong QiXin,1588.668432980731,13,7.09,10.84,7.15,1484.53,1598.07
Peshekhonov Alexander,1578.131538061115,19,4.36,6.41,8.26,1501.75,1582.86
Osipov Maksym,1563.1111490046965,15,4.21,7.85,8.87,1501.26,1563.11
De Las Salas Leonel,1562.891433530583,18,3.49,5.91,9.94,1505.51,1563.25
Sharafutdinov Dmitrii,1554.8123793133432,8,7.32,6.6,6.75,1511.84,1558.53
ZHANG Ning,1540.8103066769404,7,4.32,8.63,9.43,1508.36,1540.81
Salimov Oleksandr,1539.0647310009178,6,6.45,4.39,7.67,1512.69,1539.06
Swirk Lukasz,1533.8049247198753,17,1.13,9.59,12.0,1487.04,1533.8
Nigmatulin Alexandr,1532.4666627815943,5,4.02,9.3,12.2,1508.47,1532.47
Chen Xiaojie,1526.02276294053,4,9.63,2.86,4.0,1509.51,1538.52
Skripov Anatoly,1525.2908612698288,13,1.95,9.59,9.38,1513.02,1558.02
Vorobyev Valeriy,1521.5630434211776,12,2.94,8.45,10.5,1494.22,1535.29
Carvajal Nestor,1514.9861711201136,9,0.53,6.51,11.89,1501.77,1514.99
Shulga Olexiy,1514.5030520778523,6,0.06,9.6,11.83,1500.34,1514.5
Kokorin Stanislav,1512.6412194295974,2,3.84,12.45,9.5,1507.68,1512.64
Shilenberg Andrey,1510.4854903430594,2,11.32,1.18,7.0,1510.49,1522.64
Li Guangpu,1508.678019934783,6,1.45,12.93,14.67,1508.68,1537.26
Preti Lucas,1507.8805643814794,11,0.09,9.03,12.45,1495.24,1518.02
Podchesov Kostiantyn,1507.6391537373568,3,3.11,2.59,15.33,1501.54,1509.32
Yekimenko Mikhail,1507.324606785305,1,7.32,,20.0,1507.32,1507.32
Kucsera Bálint,1505.7144320441382,1,5.71,,24.0,1505.71,1505.71
Posmashnyy Bogdan,1505.4515739166225,1,5.45,,17.0,1505.45,1505.45
Devyaterikov Nikita,1504.9545377260715,3,1.65,6.27,20.33,1504.95,1510.04
Oleksy Tomasz,1504.870326100337,8,1.84,11.68,10.88,1490.57,1514.71
Hroza Libor,1504.5285883969589,16,0.28,8.03,11.44,1483.03,1520.25
Petkov Mincho,1504.333646133359,1,4.33,,27.0,1504.33,1504.33
Abdrakhmanov Sergey,1504.0046655760016,1,4.0,,19.0,1504.0,1504.0
Pouvreau Gérome,1503.4117807400685,1,3.41,,29.0,1503.41,1503.41
Novitskiy Yury,1503.2815840646008,1,3.28,,20.0,1503.28,1503.28
Priestley Sefton,1502.4884905350266,1,2.49,,31.0,1502.49,1502.49
Ma Hetai,1502.4595706630032,2,3.22,1.08,8.0,1502.46,1506.44
Shaulskiy Alexandr,1502.15590614639,5,-1.85,10.94,14.4,1490.75,1511.97
Badia Nicolas,1501.9125237890732,3,0.64,10.24,16.33,1495.53,1506.72
Ismagilov Eduard,1501.830107964921,1,1.83,,22.0,1501.83,1501.83
Komosinski Jedrzej,1501.6983625778837,5,-0.26,5.19,12.6,1492.83,1501.7
Gál Bence,1501.5640801737432,1,1.56,,33.0,1501.56,1501.56
Devyaterikov Artyom,1501.3904754224886,5,-0.18,9.39,20.0,1491.97,1508.01
Titov Vyacheslav,1501.1151649499643,2,0.56,2.46,23.0,1501.12,1502.3
Kozlov Vasily,1501.1047506650777,1,1.1,,23.0,1501.1,1501.1
Lazarov Blagovest,1501.101355942834,1,1.1,,34.0,1501.1,1501.1
Pilpa Reza,1500.6880854142685,2,-4.04,6.68,11.5,1491.93,1500.69
"Low Kien Seong, Francis",1500.6383228869738,1,0.64,,35.0,1500.64,1500.64
Skachkov Egor,1500.3786341986413,1,0.38,,24.0,1500.38,1500.38
Baxter Adrian,1500.1749807974404,1,0.17,,36.0,1500.17,1500.17
Lai Chi-Wai,1500.1159326967295,7,-2.01,11.02,14.29,1485.94,1516.66
Komondi Csaba,1500.1120582540689,12,-0.06,5.91,14.25,1498.38,1523.44
Stranik Martin,1499.711329466467,1,-0.29,,37.0,1499.71,1499.71
Novikov Ivan,1499.651757760967,1,-0.35,,25.0,1499.65,1499.65
Chapelle Sylvain,1498.9695641374315,1,-1.03,,21.0,1498.97,1498.97
Toozandehjani Hamidreza,1498.9120680510973,2,-7.04,8.42,13.0,1485.91,1498.91
Nieves Josmar,1498.6458135725425,3,-0.45,5.02,16.0,1498.65,1505.33
Leduc David,1498.464079477942,2,-6.5,7.01,14.0,1487.01,1498.46
Ulloa David,1498.3185179616535,1,-1.68,,40.0,1498.32,1498.32
Lau Johannes,1497.897276228325,3,-0.7,6.6,21.0,1491.78,1497.9
Winkler Daniel,1497.8536276065095,1,-2.15,,41.0,1497.85,1497.85
Nigmanov Zufar,1497.4669425160996,1,-2.53,,28.0,1497.47,1497.47
Greksak Tomas,1497.3884269855803,1,-2.61,,42.0,1497.39,1497.39
Ye Xiangyang,1497.131506886986,2,-1.44,2.02,10.5,1497.11,1497.13
Perov Aleksey,1497.0198402389447,3,-5.48,7.2,19.33,1483.57,1497.02
Juárez Lester,1496.9229158969306,1,-3.08,,43.0,1496.92,1496.92
Sirekanyan Vaginak,1496.0075302714483,1,-3.99,,30.0,1496.01,1496.01
Lalov Boyko,1495.9909615136824,1,-4.01,,45.0,1495.99,1495.99
Shyshkovskyy Ivan,1495.4600896343645,6,-0.88,5.82,15.33,1487.87,1497.36
Belchikov Alexey,1495.276079091148,1,-4.72,,31.0,1495.28,1495.28
Morgado Sílvio,1495.0581906742216,1,-4.94,,47.0,1495.06,1495.06
Baumann Jonas,1494.8401159387179,2,-2.58,7.82,23.5,1494.84,1502.95
Glairon Mondet Guillaume,1494.62731036567,1,-5.37,,26.0,1494.63,1494.63
Chernikov Mikhail,1494.222869931803,3,-2.6,3.62,14.33,1492.21,1500.7
Belchior Ricardo,1494.1245234299429,1,-5.88,,49.0,1494.12,1494.12
Derkachev Georgy,1493.8112963663293,1,-6.19,,33.0,1493.81,1493.81
Och Tumur,1493.6568343008844,1,-6.34,,50.0,1493.66,1493.66
Ten Sijthoff Casper,1493.1888331251737,1,-6.81,,51.0,1493.19,1493.19
Tuzhilkin Alexander,1493.1348940777164,1,-6.87,,32.0,1493.13,1493.13
Trotter Andrew,1492.7205197099622,1,-7.28,,52.0,1492.72,1492.72
Ter-Minasyan Arman,1492.365462918846,1,-7.63,,33.0,1492.37,1492.37
Podzorov Anton,1492.344090178409,1,-7.66,,35.0,1492.34,1492.34
Subbotin Iakov,1491.9469831314548,3,-3.99,4.84,17.67,1488.02,1491.95
Lobzov Stanislav,1491.6088058460653,1,-8.39,,36.0,1491.61,1491.61
Valiev Vladislav,1491.5951884700728,1,-8.4,,34.0,1491.6,1491.6
Musich Vladimir,1490.8727523539492,1,-9.13,,37.0,1490.87,1490.87
LE COUSTER Yoann,1490.8240698893537,1,-9.18,,35.0,1490.82,1490.82
De Boeck Jérôme,1490.4088943974848,1,-9.59,,18.0,1490.41,1490.41
Conrad Mathias,1490.2427399121439,1,-9.76,,18.0,1490.24,1490.24
Yurko Oleksiy,1490.1359289761988,1,-9.86,,38.0,1490.14,1490.14
Chang Yeu-Shiang,1489.9647286393558,2,-8.06,2.79,14.0,1483.87,1489.96
Topal Yaroslav,1489.398334993349,1,-10.6,,39.0,1489.4,1489.4
Gogol Mikhail,1489.3826971079818,1,-10.62,,32.0,1489.38,1489.38
Kryvonos Sergiy,1488.8038983196716,2,-5.6,1.55,21.0,1488.8,1495.5
Khopko Alexander,1488.6599696923781,1,-11.34,,40.0,1488.66,1488.66
Rugens Rolands,1488.4597614671127,3,-3.85,2.93,18.0,1488.46,1496.86
ANDRADA JIMENEZ Daniel,1488.3098648779285,1,-11.69,,53.0,1488.31,1488.31
Crespo Esteban,1488.302065638058,1,-11.7,,53.0,1488.3,1488.3
