name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Samoilov Fedir,1627.5175631494485,63,2.02,8.13,22.17,1494.03,1652.64
McArthur Hamish,1626.7084465701616,30,4.22,8.16,17.8,1503.81,1630.89
Nishida Hidemasa,1623.8396126273185,25,5.11,8.92,16.24,1507.41,1628.05
Narasaki Meichi,1617.2813073254906,24,4.89,7.66,17.33,1497.06,1622.28
Konecny Jakub,1615.0875830230805,37,2.78,7.28,22.81,1498.49,1615.09
Nakano Minoru,1611.6004458191703,42,2.66,6.9,20.76,1501.47,1639.17
Lechner Mario,1611.1416179744351,123,0.9,6.67,14.98,1512.45,1724.17
Jenft Paul,1609.7963186730594,25,4.55,7.68,16.88,1503.79,1613.74
Millet Sylvain,1608.2693299896341,24,4.51,6.89,7.42,1505.31,1608.27
Crespi Flavio,1606.7253590596163,37,2.88,8.6,9.24,1503.29,1637.85
HIGUCHI Masahiro,1601.451099585118,28,3.62,8.29,16.39,1508.81,1612.8
Hojer Jan,1596.5156774805882,47,2.05,6.25,24.02,1498.57,1596.52
Shimatani Naoki,1594.8821346349962,32,2.97,6.77,16.62,1511.87,1612.55
Schalck Mejdi,1594.007657915291,17,5.53,6.48,16.18,1500.01,1602.38
Dugit Fabien,1593.7731059745477,32,2.93,5.94,12.03,1506.62,1598.4
FLOHÉ Yannick,1592.4944727243808,17,5.44,8.18,8.88,1514.29,1599.91
Bombardi Marcello,1590.4444306216415,133,0.68,6.94,20.44,1487.54,1684.65
BERTONE Max,1590.3172203275042,21,4.3,7.27,12.95,1506.81,1593.9
SCHENK Filip,1590.0572922370427,20,4.5,7.58,14.6,1492.26,1590.06
Schenk Filip,1589.4433477921561,35,2.56,7.14,23.83,1500.58,1591.5
Park Jihwan,1588.458072269133,43,2.06,6.89,20.91,1499.07,1599.2
AVEZOU Sam,1587.7075837922275,12,7.31,8.49,7.17,1515.34,1592.46
Collin Nicolas,1586.3805649250708,57,1.52,5.57,30.11,1497.98,1599.45
POTOCAR Luka,1586.147389738863,17,5.07,6.72,10.71,1511.4,1586.15
DUFFY Colin,1583.2706058216122,9,10.1,4.53,8.56,1513.91,1590.86
GRUPPER Jesse,1581.3044834968643,13,6.25,7.75,10.23,1515.78,1581.3
SONG Yunchan,1581.18120400226,14,5.8,8.81,15.14,1500.23,1583.44
Lorenzi Simon,1577.291880303032,33,2.34,4.02,33.27,1503.26,1582.22
Pope James,1575.125492470713,47,1.6,6.49,29.38,1496.02,1600.48
Utelli Jonas,1573.3248129560056,22,3.33,6.9,20.59,1506.66,1573.32
Sugimoto Rei,1571.0872605235284,13,5.47,4.59,20.46,1503.33,1571.09
Marchaland Jules,1570.6343773804103,15,4.71,6.06,19.6,1511.39,1581.97
NARASAKI Tomoa,1570.2990123487104,9,6.07,8.72,12.67,1513.38,1570.3
Monchois Nao,1569.6681942300384,33,2.11,6.79,28.42,1499.2,1577.76
Scherz Stefan,1568.3370765206066,35,1.95,7.69,23.63,1487.86,1596.91
Chon Jongwon,1568.0159116892594,24,2.83,8.41,21.88,1486.02,1574.39
Watanabe Kazuma,1567.0764046637505,43,1.56,6.55,17.42,1512.8,1584.17
Fuselier Michaël,1566.6019509057426,24,2.78,6.6,12.54,1510.96,1573.01
Posch Mathias,1566.5358915001684,33,2.02,5.89,29.82,1502.48,1576.55
Ruana Rudolph,1566.2156276055641,15,4.41,6.49,27.0,1503.34,1572.61
Pan YuFei,1565.4967694723427,23,2.85,8.58,31.57,1477.12,1567.96
Marin Garcia Eduard,1564.09335430052,33,1.94,6.84,17.76,1501.71,1572.62
PLACCI Giovanni,1563.7921500414088,15,4.25,8.04,13.53,1498.69,1563.79
GHISOLFI Stefano,1561.085543933586,10,6.11,5.96,13.5,1494.2,1561.09
Takata Tomoaki,1558.1116928131576,16,3.63,7.4,20.56,1508.09,1563.49
Coleman Nathaniel,1558.0429951405827,16,3.63,6.28,25.12,1503.9,1558.04
Suzuki Neo,1557.487912297047,10,5.75,9.21,14.5,1505.22,1558.86
Bergant Martin,1557.115980781373,71,0.8,6.4,29.39,1485.43,1618.07
LEHMANN Sascha,1555.8275408240513,15,3.72,8.92,13.4,1505.07,1570.52
UTELLI Jonas,1555.7680092019098,20,2.79,9.84,14.15,1514.11,1557.03
Guerimand Flavien,1555.2022315861757,30,1.84,7.03,14.8,1495.7,1564.04
IMAIZUMI Yuta,1554.4124942425035,13,3.59,9.65,13.92,1510.46,1554.41
Raztresen Jure,1553.6956887075016,34,1.58,6.03,25.68,1494.34,1553.7
KWON Kibeom,1553.1093081267059,13,4.09,6.29,19.62,1502.57,1556.02
Comina Fabien,1551.1479002958747,18,2.84,6.9,14.5,1498.83,1557.25
Ovchinnikov Evgeny,1548.6555761692182,10,4.87,7.73,15.9,1508.45,1548.66
TANAKA Shuta,1548.117893605314,9,5.35,7.7,11.67,1514.47,1548.12
Parma Georg,1546.2242333173303,29,1.59,5.18,29.69,1492.79,1548.91
Nitta Tatsumi,1545.738489823104,24,1.91,7.2,18.21,1496.77,1545.74
SCHUBERT Jakob,1545.4963766758249,5,12.6,6.85,2.6,1511.42,1563.0
Shevchenko Vladislav,1545.3563944114553,19,2.39,6.93,32.58,1501.84,1546.16
Marcus Nimrod,1545.1175829675092,19,2.37,5.61,36.63,1501.74,1545.12
MEGOS Alexander,1544.1547845282441,9,4.91,10.4,10.67,1496.29,1548.59
OGATA Yoshiyuki,1543.1327681907258,8,5.06,3.97,16.0,1502.53,1543.13
Van Duysen Hannes,1543.0032706251984,10,4.42,6.6,32.1,1490.13,1544.19
Lightner Kai,1542.538260619205,13,3.27,6.19,26.77,1501.69,1542.54
Preskar Milan,1542.5066554995956,45,0.94,5.63,34.84,1490.7,1563.83
Shalagin Mykhaylo,1541.8424960561006,13,3.22,6.89,21.38,1501.12,1543.03
Nakagami Taito,1541.2378189066217,16,2.58,7.83,17.5,1509.56,1559.77
STRANIK Martin,1540.3553290590846,15,2.69,7.78,21.0,1511.43,1542.33
Epih Sergej,1539.9947033487717,18,2.22,5.07,24.33,1502.24,1539.99
Hanke Christoph,1539.9263990162399,87,0.46,5.98,27.24,1463.84,1597.9
Shemla Yuval,1539.8410210513803,36,1.11,7.34,31.39,1506.25,1566.73
LEE DOHYUN,1539.4756161788762,4,9.87,4.8,10.0,1512.72,1539.48
JonasMcRae Elan,1539.0064032602843,61,0.64,5.19,25.64,1485.3,1557.45
VAN DUYSEN Hannes,1538.4964337056074,9,4.28,9.07,16.78,1495.27,1547.75
Fischhuber Kilian,1537.5056718318685,10,3.75,6.84,12.0,1508.28,1537.51
Milne Maximillian,1537.482205234488,12,2.57,6.93,32.75,1496.06,1537.48
Ravanal Tomas,1536.8778285911978,31,1.19,6.19,31.68,1483.83,1536.88
RAMADHAN RAVIANTO,1536.3044924963303,6,6.05,5.05,23.67,1507.78,1536.3
Kalina Alexander,1535.8992171128714,14,2.56,6.84,16.43,1490.58,1535.9
Grünenfelder Nino,1535.1064917885642,24,1.46,7.06,34.33,1481.88,1547.53
Levier Alban,1534.5282884785133,7,4.93,4.88,26.57,1511.04,1534.53
Rubtsov  Aleksei,1534.5187841758732,11,3.14,6.7,23.91,1498.54,1537.02
Bydtaev Sergei,1533.8049544249789,12,2.82,3.35,33.33,1501.34,1536.13
Hanssens Stephane,1533.3000405566754,21,1.59,5.75,34.81,1492.34,1533.3
JENFT Paul,1533.1403604454924,7,4.73,8.34,20.29,1496.67,1533.14
PAN YUFEI,1532.3666550083565,14,2.31,8.5,26.71,1503.3,1553.06
NARASAKI Meichi,1532.3476099327268,5,6.47,5.94,19.6,1512.94,1532.35
Qu HaiBin,1531.6659008322624,29,1.09,8.88,22.45,1428.21,1535.28
PAN Yufei,1530.8529004793536,7,4.41,8.7,15.57,1511.3,1535.6
Reuser Tim,1530.8504876709535,15,2.06,6.12,31.53,1482.82,1531.96
ONDRA Adam,1529.885463903567,3,8.45,11.25,3.33,1515.39,1529.89
HALENKE Sebastian,1529.5024297500531,12,2.46,7.08,22.0,1498.69,1535.94
VANCRAEYNEST Ties,1528.9190253111415,11,2.63,7.24,23.36,1505.38,1528.92
Hong Matty,1528.4322122292172,5,5.69,4.07,22.8,1502.37,1528.43
Firnenburg David,1527.621698385428,24,1.15,7.24,29.25,1467.61,1527.62
TRI RAMADANI Putra,1527.4721885396098,6,4.58,7.78,14.67,1509.42,1528.87
CHON Jongwon,1527.1003322249514,5,5.42,1.86,35.2,1507.2,1527.1
Gullsten Anthony,1525.4772817015269,10,2.55,5.94,38.5,1494.88,1525.48
Bertone Max,1525.4480053034108,3,8.78,6.86,8.67,1511.99,1526.35
Bonzom Maël,1525.0439934837182,17,1.47,6.01,30.18,1495.85,1530.56
NOH Hyunseung,1524.8490533231484,9,2.76,6.38,21.89,1499.69,1536.42
Traversi Carlo,1524.813419638538,6,4.14,2.67,31.83,1504.35,1525.31
Bonder Jeremy,1524.690177463362,9,2.74,6.28,31.11,1505.53,1524.69
Baudrand Oscar,1524.0904243945424,20,1.2,6.01,34.35,1500.94,1524.09
Countryman Dillon,1524.0762340062688,5,4.82,3.89,36.0,1509.03,1525.66
Linacisoro Molina Mikel Asier,1523.6488322792882,25,0.95,5.77,40.24,1498.71,1540.59
MARCHALAND Jules,1523.3519751013864,8,2.92,5.83,25.25,1501.92,1523.35
Suyushkin Nikita,1522.9572380617944,5,4.59,4.11,32.2,1501.0,1522.96
Jubes Angarita Marco Antonio,1522.907370117168,40,0.57,6.85,22.05,1477.69,1524.83
Hirayama Yuji,1522.2852291863583,6,3.71,11.07,10.17,1511.52,1539.02
Placci Giovanni,1522.0545980330821,14,1.58,7.64,29.71,1490.33,1522.05
Ito Hidekazu,1521.5586578816417,18,1.2,3.68,26.44,1494.12,1523.85
Zardini Luca,1521.3263976788319,11,1.94,6.83,16.64,1502.42,1538.11
Blein Charli,1520.596706090969,28,0.74,6.3,31.61,1477.73,1542.33
Baudrand Victor,1520.2321639368379,24,0.84,7.72,31.04,1499.56,1567.52
Lopez Mateos Eric,1519.9894703658395,26,0.77,5.9,28.46,1504.75,1539.78
Amagasa Sohta,1519.5509063538586,5,3.91,5.78,23.0,1504.77,1523.77
RIZKY SYAHRAFLI SIMATUPANG Muhammad,1519.374657442197,8,2.42,7.51,23.25,1500.89,1519.37
Lee Minyoung,1519.0742860846353,9,2.12,3.12,36.67,1503.98,1519.07
Schab Piotr,1518.917854800522,7,2.7,7.33,31.86,1488.0,1518.92
Kruder Jernej,1518.203604819428,23,0.79,6.97,37.78,1470.86,1525.74
RAMADHAN RAVIANDI,1517.9541168861278,7,2.56,7.58,25.29,1506.99,1520.75
Piccolruaz Michael,1517.5479922275981,24,0.73,3.92,42.88,1487.59,1518.66
Dohi Keita,1517.234271656531,8,2.15,7.38,32.5,1493.36,1522.89
Tekles Martin,1517.159569008421,41,0.42,6.62,33.12,1492.91,1542.05
Fourbet Diego,1516.999099354455,9,1.89,6.52,31.89,1500.39,1524.77
ISHIZU Mototaka,1516.9856798451706,7,2.43,6.92,19.29,1501.66,1523.28
Mardashov Anton,1516.7639397556566,19,0.88,6.08,28.05,1492.42,1516.76
Ferenc Kamil,1516.2671140492273,3,5.42,0.99,29.0,1506.39,1516.27
UEMURA Haruki,1516.1827185768755,8,2.02,10.38,19.88,1504.22,1532.7
AMAGASA Sohta,1516.1580768008857,2,8.08,9.7,11.0,1514.94,1516.16
GRÜNENFELDER Nino,1516.0568621688603,13,1.24,8.6,23.54,1496.6,1516.06
Biagini Pietro,1515.5225461529255,4,3.88,4.02,42.0,1497.88,1515.52
PEINADO FRANGANILLO Guillermo,1515.3547985964956,11,1.4,9.93,19.55,1500.86,1524.19
SHIMIZU Hiroto,1514.074204221565,4,3.52,8.9,15.25,1502.08,1514.07
Gotta Alberto,1513.5062457603472,29,0.47,6.04,28.66,1494.53,1542.19
O'Halloran Tom,1513.440039988136,3,4.48,4.68,41.0,1505.88,1513.44
Kuric Peter,1512.880264893686,10,1.29,6.68,37.6,1500.53,1515.77
Culver Aurélien,1512.7477375340352,13,0.98,5.83,22.85,1487.52,1512.75
Vancraeynest Ties,1512.5860171282693,10,1.26,7.26,28.4,1502.92,1521.9
Ernsberger Ellis,1512.5789748151685,6,2.1,3.87,32.83,1505.09,1513.77
Dzyubyak Yuriy,1512.540882370782,16,0.78,5.76,29.5,1496.02,1536.13
Duval Arsène,1512.0237288885126,23,0.52,7.32,35.0,1486.2,1516.33
Zazulin Evgenii,1511.9764452345346,37,0.32,7.7,30.84,1483.42,1532.54
Shoprin Alexander,1510.9021347662367,9,1.21,7.88,21.0,1495.44,1511.62
Landry Fabrice,1510.7614394251946,9,1.2,6.73,23.78,1501.04,1519.7
Uznik Nicolai,1510.1376021431597,9,1.13,7.56,40.11,1488.31,1511.7
FUJII Kokoro,1510.0159533937494,1,10.02,,27.0,1510.02,1510.02
Musha Tomoki,1509.9162857888682,3,3.31,5.06,23.67,1508.8,1511.07
LEE Sungsu,1509.480535042439,1,9.48,,29.0,1509.48,1509.48
Vogt Dimitri,1509.3201889999004,33,0.28,5.68,45.42,1465.37,1515.94
Weaver Brad,1509.2232546485911,3,3.07,1.7,23.67,1504.55,1509.22
Rekabi Davoud,1508.9963105509696,11,0.82,8.39,22.09,1487.89,1525.06
AUBERT MASMOUDI Younès,1508.701375153655,3,2.9,7.05,25.0,1504.94,1513.64
DE FLAUGERGUES Geoffray,1508.5969269102102,6,1.43,6.43,30.17,1504.88,1519.69
Röck Bernhard,1508.4834070917639,28,0.3,5.95,29.11,1495.68,1529.54
Jafari Mahmoudabadi Mohammad,1508.3804183501904,2,4.19,11.43,9.0,1508.38,1512.27
REUSA Matteo,1508.1940128161898,3,2.73,1.49,40.0,1503.27,1508.19
Vorotnikov Vasya,1508.0714835503259,4,2.02,2.63,26.0,1500.16,1508.07
Nagel Yannick,1507.741636905972,4,1.94,4.73,31.0,1499.14,1508.15
GUILLERMIN Victor,1507.719268673269,7,1.1,7.71,26.14,1499.32,1511.06
Gelmanov Rustam,1507.589401610428,7,1.08,4.24,39.29,1497.24,1508.78
Conlon Rhys,1507.3204051656885,2,3.66,4.59,38.0,1506.91,1507.32
Colombo Davide Marco,1507.1830299684937,3,2.39,1.69,37.0,1502.82,1507.18
Aglae Kevin,1507.1788632576543,11,0.65,7.99,26.0,1483.44,1509.73
Iarilovets Nikolai,1507.0408542746711,9,0.78,3.38,39.0,1500.12,1510.36
Michel Nathan,1507.008229582393,6,1.17,6.76,34.0,1490.16,1507.87
Hoberg Ben,1506.819499056261,2,3.41,3.29,15.5,1505.73,1506.82
Poles Jordi,1506.8107551426954,4,1.7,7.09,32.25,1506.81,1514.99
GEFFROY Romaric,1506.8010760642428,12,0.57,9.55,32.83,1486.78,1507.43
Sova Matej,1506.6305197935296,29,0.23,6.83,25.28,1482.66,1514.89
MARZULLO Pierre,1506.5873078448988,1,6.59,,30.0,1506.59,1506.59
TOMATIS Giorgio,1506.4437987545734,13,0.5,7.32,26.46,1492.53,1511.51
Lee Dohyun,1506.2845249694662,9,0.7,8.57,33.89,1503.38,1517.96
Khazanov Alex,1505.9151146889901,13,0.46,5.31,45.08,1492.27,1509.48
RAMADHAN Raviandi,1505.848667288556,6,0.97,6.59,23.17,1498.55,1510.73
PARK JIHWAN,1505.7022872578914,1,5.7,,36.0,1505.7,1505.7
LAKHNO Sergey,1505.65044739138,2,2.83,5.3,39.0,1505.65,1506.58
Ischia Martino,1505.6195445387734,9,0.62,8.03,26.89,1498.32,1517.36
Peharc Anze,1505.5280148859192,19,0.29,5.52,39.16,1487.42,1518.63
Galla Zach,1505.2436228861602,7,0.75,5.69,54.71,1490.94,1505.24
NAGEL Yannick,1505.2387245475502,14,0.37,8.9,24.86,1483.44,1517.38
MARTIN Philipp,1505.0638647632754,9,0.56,6.01,27.89,1500.62,1513.95
Colin Guillaume,1504.7120372760744,1,4.71,,34.0,1504.71,1504.71
Kasahara Daisuke,1504.5787092685387,10,0.46,3.12,21.8,1497.02,1508.41
Dornauer Alfons,1504.559618939908,5,0.91,5.51,30.2,1499.65,1507.71
Sharafutdinov Dmitrii,1504.5245886852815,6,0.75,7.41,19.5,1493.04,1504.52
Parry Gareth,1504.4496255020626,2,2.22,0.21,44.5,1502.37,1504.45
Mawem Mickael,1504.449469154075,11,0.4,5.46,54.82,1487.98,1504.45
Pintar Gasper,1504.44459148564,1,4.44,,27.0,1504.44,1504.44
SCHALCK Mejdi,1504.442845439689,3,1.48,7.3,15.33,1498.69,1508.45
Uchida Lucas,1504.4344585523688,7,0.63,5.03,53.57,1504.43,1514.3
Dufros Lucas,1504.2946014071756,3,1.43,3.46,50.0,1504.29,1506.29
Hori Tsukuru,1504.176614271502,2,2.09,4.75,14.5,1498.73,1504.18
Schiestl Matthias,1504.1449403598044,25,0.17,5.65,39.64,1473.95,1507.59
Bindhammer Christian,1503.9564899538293,5,0.79,9.52,21.0,1501.78,1515.33
Bosio Anatole,1503.9031456971802,11,0.35,4.42,32.64,1493.81,1503.9
BAILEY Sean,1503.8025035715505,1,3.8,,11.0,1503.8,1503.8
Robinson Paul,1503.6768312090549,1,3.68,,31.0,1503.68,1503.68
CHON JONGWON,1503.6519587917533,2,1.83,4.1,44.0,1498.93,1503.65
UZNIK Timo,1503.6313678506435,6,0.61,5.59,36.33,1503.06,1510.04
LEE SUNGSU,1503.6113256969343,2,1.81,2.47,45.0,1503.55,1503.61
Kozlov Victor,1503.5008405884162,1,3.5,,34.0,1503.5,1503.5
Van der Werf Roman,1503.4371772108032,7,0.49,6.98,22.29,1491.35,1503.44
Fulkerson Ross,1503.3452364542552,12,0.28,7.46,36.75,1503.35,1517.1
Ishimatsu Taisei,1503.2986903043152,1,3.3,,27.0,1503.3,1503.3
URRUTIA Joaquin,1503.2770001676322,7,0.47,5.76,37.29,1487.06,1503.28
Jeliga Marek,1503.1423213060375,1,3.14,,46.0,1503.14,1503.14
Peinado Franganillo Guillermo,1503.062363450687,1,3.06,,29.0,1503.06,1503.06
Mogaki Keita,1502.9537493954424,2,1.48,3.89,15.0,1498.73,1502.95
Winkler Daniel,1502.905189101784,15,0.19,9.8,15.87,1479.21,1517.51
Moroni Gabriele,1502.869704968356,4,0.72,4.21,44.75,1499.75,1504.98
Cano Blazquez Javier,1502.7890961869507,53,0.05,7.17,32.66,1466.62,1533.82
Dugit Stephane,1502.6591528345245,1,2.66,,27.0,1502.66,1502.66
YUN Shinyeong,1502.61940787997,3,0.87,3.32,37.0,1498.01,1502.62
Rubtsov Aleksey,1502.3900920948533,1,2.39,,34.0,1502.39,1502.39
Guinet Arthur,1502.37770235649,2,1.19,5.83,49.5,1502.38,1505.31
BOMBARDI Marcello,1502.3699313522575,1,2.37,,32.0,1502.37,1502.37
Dinger Max,1501.9383806443768,1,1.94,,31.0,1501.94,1501.94
Nomura Shinichiro,1501.851602289877,23,0.08,8.16,26.35,1481.35,1519.03
HANKE Christoph,1501.7108267971566,7,0.24,4.54,31.43,1500.46,1510.21
Pringle Ethan,1501.6140716048785,1,1.61,,51.0,1501.61,1501.61
FAN Chih-En,1501.447404242457,5,0.29,3.02,37.8,1496.57,1503.45
Mobråten Martin,1501.4233077026233,2,0.71,4.92,23.5,1501.42,1504.19
Gruber Raffael,1501.285467786372,1,1.29,,57.0,1501.29,1501.29
SHEMLA Yuval,1501.2206868567125,4,0.31,4.82,30.5,1499.09,1504.95
Caude David,1501.2165848892098,4,0.3,11.88,12.25,1493.26,1507.64
Parmentier Hugo,1501.0963932204913,17,0.06,7.54,41.0,1497.45,1522.1
LEE Hakjin,1500.8779193373125,1,0.88,,29.0,1500.88,1500.88
Varma Aman,1500.8359505783455,1,0.84,,27.0,1500.84,1500.84
Vályi  Gergő,1500.7596095337942,4,0.19,4.86,52.0,1500.63,1506.39
SKOFIC Domen,1500.756021893657,3,0.25,14.15,15.33,1500.76,1516.47
SOULE Matteo,1500.7271904453883,1,0.73,,45.0,1500.73,1500.73
Christophersen Stian,1500.7178893853875,1,0.72,,31.0,1500.72,1500.72
Taft - Pittman Bobby,1500.5769866356611,1,0.58,,47.0,1500.58,1500.58
Arc Kevin,1500.549749816805,4,0.14,8.27,30.5,1500.55,1514.48
Ovchinnikov Semen,1500.5349744669202,1,0.53,,65.0,1500.53,1500.53
TRANDAFIR Lucas,1500.4418861339723,1,0.44,,50.0,1500.44,1500.44
CONLON Rhys,1500.372155367341,3,0.12,4.71,34.33,1495.35,1500.37
VICENTINI Riccardo,1500.370746195431,1,0.37,,43.0,1500.37,1500.37
REITER Otto,1500.370532899629,1,0.37,,43.0,1500.37,1500.37
Mader Felix,1500.2578905259898,1,0.26,,34.0,1500.26,1500.26
Reffo Silvio,1500.1989137019877,18,0.01,6.16,29.56,1487.34,1520.39
Kim Janghyuk,1500.186320147529,1,0.19,,42.0,1500.19,1500.19
Luzhetskii Sergei,1500.0356666212003,5,0.01,8.64,35.0,1500.04,1516.22
Ridge Noah,1500.0149908720607,6,0.0,3.11,29.33,1492.6,1500.01
Kejzar Klemen,1500.0014453833044,1,0.0,,33.0,1500.0,1500.0
DUVAL Arsène,1499.7727273503585,1,-0.23,,32.0,1499.77,1499.77
FOURTEAU Joshua,1499.7109105480936,2,-0.14,10.26,23.0,1499.71,1507.11
Tomatis Giorgio,1499.7067884198152,15,-0.02,6.04,35.93,1486.57,1511.53
Gajdosik Patrik,1499.553877757335,2,-0.22,0.17,52.0,1499.55,1499.9
RUSEV Nikolay,1499.5193927290381,1,-0.48,,48.0,1499.52,1499.52
Ter-Minasyan Arman,1499.5023514240688,21,-0.02,6.88,33.14,1472.22,1510.6
Manzato Quentin,1499.4766134416902,1,-0.52,,41.0,1499.48,1499.48
Lee Sungsu,1499.4407251490268,3,-0.19,8.97,25.0,1499.13,1508.53
Uznik Timo,1499.418183334519,2,-0.29,3.74,63.5,1499.42,1502.35
Hoppe Markus,1499.4013870744895,2,-0.3,11.21,23.5,1499.4,1507.63
Radkov Ivaylo,1499.355232322202,1,-0.64,,44.0,1499.36,1499.36
Hemund Kevin,1499.3259080975827,1,-0.67,,29.0,1499.33,1499.33
Pagnoux Romain,1499.2785244565189,8,-0.09,7.07,27.0,1496.22,1509.35
