name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Schubert Jakob,2035.7640251249027,265,2.04,6.21,3.35,1513.95,2056.09
Ondra Adam,2032.3312915337015,133,3.86,7.73,3.14,1515.25,2039.24
Amma Sachi,2012.8751733757667,157,3.27,5.49,4.08,1505.53,2018.8
Supper Gautier,1860.0590094165414,156,2.31,6.88,7.44,1505.31,1889.18
Megos Alexander,1847.323108648037,69,4.9,7.77,6.59,1497.15,1847.32
ANRAKU Sorato,1846.2623241649487,45,7.48,6.97,2.8,1517.58,1846.26
Desgranges Romain,1817.5655609039054,252,1.26,7.18,6.48,1501.2,1951.0
Ghisolfi Stefano,1808.74284868778,209,1.48,7.37,8.91,1483.43,1923.03
Romain Manuel,1802.3248107665488,140,2.16,6.66,6.97,1489.53,1812.6
Lachat Cédric,1789.6719513266441,56,5.17,6.35,5.18,1508.7,1789.67
Skofic Domen,1783.698338971784,197,1.44,7.13,8.08,1506.43,1978.37
McColl Sean,1782.4729099781498,179,1.58,7.01,6.74,1507.84,1956.39
Lehmann Sascha,1779.1263832273219,104,2.68,8.03,10.82,1505.71,1792.89
Midtboe Magnus,1778.8144994265435,120,2.32,6.33,8.65,1495.98,1809.75
Min Hyunbin,1773.562244954613,126,2.17,7.26,10.09,1490.34,1815.38
YOSHIDA Satone,1770.5891566030723,73,3.75,7.15,8.51,1511.36,1773.56
Bailey Sean,1769.299655763908,80,3.29,7.79,11.35,1511.89,1782.91
Usobiaga Lakunza Patxi,1762.0502190903699,75,3.49,7.92,4.61,1513.76,1801.42
Fakirianov Dmitrii,1760.2894355867513,51,5.1,7.59,11.12,1504.14,1765.2
Verhoeven Jorg,1755.7767090343355,113,2.26,7.32,6.62,1513.04,1810.77
Julian  Puigblanque Ramón,1746.2994399532456,232,1.06,8.76,5.82,1499.21,1950.08
Homma Taisei,1740.267317810554,42,5.72,6.67,11.76,1514.09,1744.3
Mrázek Tomás,1738.7978239197164,47,5.08,7.75,3.81,1515.16,1740.7
Flohé Yannick,1738.2381587846094,53,4.41,6.13,15.64,1488.66,1739.7
Roberts Toby,1734.8976855822896,25,9.94,6.45,6.24,1510.7,1748.53
Narasaki Tomoa,1734.4959420195974,38,6.17,8.2,10.5,1476.04,1734.5
Higuchi Masahiro,1732.3893011402465,94,2.55,7.02,14.22,1485.76,1739.97
Korenaga Keiichiro,1730.0596588353178,57,4.04,7.09,11.04,1505.53,1741.37
Primozic Urban,1727.208816865592,83,2.74,5.69,15.08,1493.63,1727.21
Ginés López Alberto,1721.8249638884213,44,5.04,8.99,8.98,1513.52,1739.29
Lama David,1713.3347608424874,56,3.81,7.46,6.02,1515.14,1728.65
YURIKUSA Ao,1709.2561884248767,49,4.27,8.61,8.78,1515.26,1719.7
Matsushima Akito,1707.138048118185,69,3.0,5.09,12.26,1503.71,1714.3
Potocar Luka,1699.6051255707202,67,2.98,9.0,13.42,1491.92,1765.53
Grupper Jesse,1698.9026534714892,40,4.97,9.71,13.82,1504.41,1723.89
GINÉS LÓPEZ Alberto,1696.5448430403364,19,10.93,3.4,2.37,1515.97,1707.66
Hada Yuki,1695.4252539647182,54,3.62,7.35,12.3,1506.26,1695.43
Fujii Kokoro,1695.3567678054987,58,3.37,7.59,12.1,1497.06,1717.73
OMATA Shion,1695.039580935159,44,4.27,8.48,8.05,1510.63,1708.33
Duffy Colin,1686.717782369798,35,5.63,8.39,8.57,1511.93,1697.03
Vettorata Francesco,1686.5856796884357,101,1.85,6.22,15.72,1486.66,1709.53
Halenke Sebastian,1680.4259817967038,120,1.5,7.9,14.98,1504.0,1769.4
Joannes Thomas,1679.7639461292279,80,2.25,7.39,15.41,1504.85,1728.51
Avezou Sam,1673.6941799731494,33,5.5,6.53,15.45,1497.19,1681.37
HOMMA Taisei,1672.9601585335347,37,4.67,9.98,7.68,1507.44,1697.26
Tauporn Thomas,1671.7696758881389,95,1.81,6.11,12.44,1500.6,1726.69
LEE Dohyun,1670.6907850758987,37,5.07,8.13,10.05,1505.72,1687.56
Ogata Yoshiyuki,1668.4194262927303,60,2.81,7.86,12.43,1512.68,1687.51
Rudigier Max,1665.8999211704258,92,1.8,6.96,21.14,1503.4,1687.05
Harada Kai,1664.681280047468,32,5.15,9.33,14.97,1500.17,1691.02
Becan Klemen,1656.7581014534649,79,1.98,7.1,12.56,1491.85,1662.64
Shimizu Hiroto,1650.3805509544848,24,6.27,8.26,15.33,1492.37,1650.38
Stranik Martin,1647.6545857126546,49,3.01,6.61,18.18,1507.01,1676.8
Ballet Thomas,1647.3483687471667,80,1.84,7.46,14.36,1513.47,1727.4
Bosi William,1646.4545988894706,34,4.31,6.64,20.71,1494.34,1659.52
MURASHITA Zento,1643.431360768862,24,5.98,7.65,9.96,1501.55,1651.8
Son Sangwon,1641.4269075802047,45,3.14,7.42,11.49,1511.63,1654.67
Puman Hannes,1638.8189460387464,78,1.78,6.89,20.18,1495.67,1652.97
Kryukov Valeriy,1636.5204423601651,47,2.9,8.88,12.62,1487.09,1656.99
Tanaka Shuta,1635.93853924531,24,5.66,7.57,14.92,1509.35,1644.08
KIM Hanwool,1633.553529386252,69,1.94,6.64,19.04,1488.32,1691.99
SUZUKI Neo,1633.4663881523195,14,8.92,9.88,4.5,1514.94,1633.47
ROBERTS Toby,1632.2112603598882,15,8.81,8.03,5.53,1515.38,1633.42
Timmermans Loïc,1629.5267423813757,97,1.34,6.28,20.02,1490.26,1634.01
Chernikov Mikhail,1627.614267891745,112,1.14,6.52,16.37,1486.89,1722.84
