name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Narasaki Tomoa,1961.3798386880849,111,4.16,6.05,5.39,1499.3,1978.22
Fujii Kokoro,1866.2386090671862,120,2.91,8.07,5.86,1503.24,1876.6
Ondra Adam,1865.3051518405878,77,4.74,8.37,3.91,1514.93,1895.71
Fischhuber Kilian,1863.4610963623995,157,2.32,6.97,3.73,1512.31,1897.89
Chon Jongwon,1833.6810788430514,102,3.27,8.23,5.67,1505.4,1866.19
Sugimoto Rei,1823.2524205940579,108,2.99,7.44,7.26,1497.72,1830.85
Rubtsov  Aleksei,1820.8069550311066,126,2.55,7.16,5.8,1506.68,1854.86
Ogata Yoshiyuki,1792.7145255532098,101,2.9,7.49,7.54,1496.58,1853.31
Sharafutdinov Dmitrii,1788.807789049772,161,1.79,7.52,4.89,1515.27,1937.64
Glairon Mondet Guillaume,1788.737584471926,145,1.99,8.1,6.73,1500.46,1839.06
Schubert Jakob,1786.6626232045437,117,2.43,7.78,7.74,1503.71,1836.38
Hojer Jan,1776.8701036501789,130,2.13,7.68,7.9,1499.35,1839.23
Watabe Keita,1741.5038499755865,51,4.74,6.9,10.41,1500.77,1743.15
Gelmanov Rustam,1740.955963953482,169,1.43,8.71,6.41,1498.03,1826.01
Harada Kai,1735.578410815458,38,6.2,7.6,8.47,1508.96,1741.67
Lachat Cédric,1728.033919437401,46,4.96,7.08,7.17,1484.21,1732.85
ANRAKU Sorato,1727.3540016672966,31,7.33,8.28,4.39,1515.89,1748.25
Bonder Jeremy,1726.431940113339,77,2.94,7.7,9.84,1500.07,1734.03
Schalck Mejdi,1722.8317670381407,26,8.85,6.04,8.23,1514.71,1730.11
Hori Tsukuru,1719.951778881632,136,1.62,7.87,8.62,1509.86,1742.65
Kruder Jernej,1719.5785666764502,162,1.36,7.56,11.48,1496.94,1851.65
Flohé Yannick,1719.2021266110696,51,3.94,9.05,10.63,1508.74,1719.2
Moroni Gabriele,1719.0243133846568,103,2.13,8.13,9.89,1487.91,1749.51
Mawem Mickael,1718.9648437154576,73,3.0,8.13,11.19,1500.01,1731.36
Cornu Manuel,1710.7817654171163,73,2.89,7.93,11.78,1510.43,1743.67
Takata Tomoaki,1698.8624722756097,58,3.43,7.38,11.26,1508.96,1704.12
Narasaki Meichi,1698.2256110082442,31,5.92,7.84,8.84,1506.86,1698.23
LEE Dohyun,1697.5487786086685,24,8.72,7.52,7.46,1517.29,1709.37
Tauporn Thomas,1694.7693276864402,28,6.96,7.84,7.14,1504.1,1697.46
Caleyron Thomas,1687.3133747675531,67,2.8,7.27,12.75,1473.84,1687.31
NARASAKI Tomoa,1687.062425379739,30,6.24,8.56,5.67,1515.35,1702.72
Levier Alban,1685.400171993241,57,3.25,8.25,10.09,1497.75,1705.14
NARASAKI Meichi,1682.9555585097273,26,6.3,8.92,11.23,1504.19,1682.96
Vezonik Gregor,1682.6198465879716,60,3.04,7.68,14.62,1491.8,1717.15
Woods Daniel,1678.9976161025638,37,4.84,7.4,7.73,1505.96,1694.96
Verhoeven Jorg,1678.0033505720667,101,1.76,7.61,10.4,1511.06,1742.26
Lama David,1672.5768272377816,27,6.39,7.68,7.19,1505.44,1682.32
Inoue Yuji,1670.445087384362,42,4.06,7.98,11.64,1508.95,1687.36
Coleman Nathaniel,1669.9727490015955,41,4.15,8.12,10.95,1504.79,1678.09
Peharc Anze,1665.9049807704127,53,3.13,8.62,13.68,1509.83,1686.31
Duffy Colin,1664.2813577220422,28,5.87,7.26,13.86,1508.36,1676.13
Ishimatsu Taisei,1658.4745881704587,30,5.28,8.51,9.8,1508.99,1658.64
Dohi Keita,1658.147484404181,28,5.65,6.53,12.71,1507.97,1664.14
Watson Stewart,1655.3657275211758,49,3.17,7.34,10.31,1502.39,1655.72
Shalagin Mykhaylo,1653.226977795882,71,2.16,7.88,11.46,1505.81,1656.75
