name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Zhong QiXin,1813.60773968666,99,3.26,8.34,5.15,1504.59,1822.37
Hroza Libor,1812.9812417144278,105,2.93,7.98,4.85,1514.63,1852.26
Mawem Bassa,1803.1506510512872,93,3.07,7.71,6.27,1492.3,1862.45
Alipourshenazandifar Reza,1792.2495881401885,36,8.12,4.25,4.67,1506.14,1792.25
Deulin Vladislav,1772.9294576202183,62,4.32,7.47,8.08,1492.67,1772.93
Timofeev Dmitrii,1772.8850148758715,80,3.16,9.05,7.14,1518.57,1772.89
LEONARDO VEDDRIQ,1750.2972020165926,33,7.52,6.78,3.91,1507.8,1752.61
Boldyrev Danyil,1740.2714216362165,103,2.33,8.61,8.73,1492.93,1851.88
Kokorin Stanislav,1727.810232848432,144,1.58,8.06,7.0,1484.51,1799.24
Shikov Aleksandr,1721.0123486548548,71,2.83,8.96,8.63,1502.07,1730.5
KATIBIN KIROMAL,1700.9495577656887,27,7.76,7.77,7.48,1516.02,1709.43
Alipour Shenazandifard Reza,1698.3464677112174,54,3.52,9.72,8.52,1498.08,1753.05
WU PENG,1677.5836977203037,20,9.57,5.16,6.55,1515.88,1691.33
Watson Samuel,1677.1080810177568,30,6.28,9.41,10.1,1488.36,1688.5
Abdrakhmanov Sergey,1662.29023491599,51,3.27,9.63,6.61,1510.3,1666.57
LONG JINBAO,1661.102429046706,22,6.53,9.14,7.95,1514.49,1661.1
Fossali Ludovico,1659.3104523414213,85,1.79,8.94,13.48,1486.57,1697.99
Gontero Leonardo,1648.2038706258,94,1.44,7.7,10.68,1452.89,1675.34
Jaelolo Aspar,1644.1869752149241,21,6.87,9.99,12.19,1505.76,1658.26
Gontaryk Yaroslav,1640.7399465545632,40,3.33,7.9,8.28,1496.12,1661.91
ADI MULYONO RAHMAD,1638.3490967232628,20,6.92,7.74,9.2,1515.81,1638.35
KATIBIN Kiromal,1635.61076297525,12,10.96,5.12,2.75,1516.25,1635.61
Khaibullin Rishat,1635.1506552063352,33,4.1,7.59,15.33,1491.84,1653.55
ASPAR ASPAR,1635.0570230111127,40,3.38,10.01,9.22,1506.31,1676.85
Dzienski Marcin,1634.8494779751634,119,1.13,8.67,10.24,1496.47,1835.87
Zurloni Matteo,1634.3820310818662,20,6.97,7.58,9.5,1504.24,1639.32
Vaitsekhovskii Evgenii,1633.826201240213,89,1.5,8.49,7.16,1514.58,1737.64
Shilov Aleksandr,1629.920398258552,62,2.1,8.45,11.71,1506.47,1667.15
LONG JIANGUO,1629.2320190722278,23,5.48,10.22,11.22,1516.34,1658.54
OMASA Ryo,1628.8635809919415,32,4.04,7.52,14.47,1501.63,1629.34
