name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
BERTONE Oriane,1636.1974469457084,16,9.06,4.86,3.62,1515.45,1644.99
SANDERS Annie,1633.0890834064735,14,8.85,6.7,3.93,1513.25,1633.09
NAKAMURA Mao,1608.0092396595462,17,6.16,7.02,7.0,1514.07,1608.01
MCNEICE Erin,1595.2085817570987,10,9.52,6.72,5.5,1512.14,1603.26
SEKIKAWA Melody,1590.0829906868682,16,4.9,9.92,6.25,1515.44,1593.62
AVEZOU Zélia,1588.8110155073898,10,8.88,6.25,6.2,1511.93,1588.81
MORONI Camilla,1582.4387867552296,13,6.54,6.1,8.77,1501.31,1584.98
NONAKA Miho,1581.6081469975604,13,6.28,6.75,8.08,1509.94,1585.33
CALLIET Agathe,1565.39273520056,12,5.45,7.54,10.83,1504.84,1565.39
MEIGNAN Naïlé,1564.2631615328196,6,10.28,6.61,4.0,1512.24,1564.26
MACKENZIE Oceania,1553.8160538200389,11,4.18,10.65,7.09,1512.44,1553.82
MATSUFUJI Anon,1551.2930702883555,10,6.0,7.97,8.6,1509.43,1559.96
Matsufuji Anon,1544.644688638446,5,7.47,8.78,5.8,1516.0,1544.64
EDWARDS Emma,1543.2407738549953,9,4.8,6.81,14.89,1496.82,1545.06
BUCKLEY Jennifer Eucharia,1539.0890562865068,7,5.58,6.27,13.86,1508.0,1544.36
ITO Futaba,1539.001000762506,8,2.99,11.51,8.5,1499.39,1539.0
ABRIAT Lily,1537.2672190104358,6,6.21,8.67,10.17,1514.17,1546.14
TESIO Giorgia,1533.6830113687683,11,1.85,9.29,17.09,1499.07,1533.68
CONDIE Kyra,1531.431891764146,10,3.14,5.39,14.6,1510.49,1531.43
GARNBRET Janja,1527.9930417093508,3,15.61,2.84,3.33,1514.55,1546.82
ZHANG Yuetong,1526.2840223999765,6,4.38,5.93,18.33,1511.55,1526.28
KEREM Ayala,1525.1660747581648,4,6.29,6.5,12.75,1505.98,1525.17
MACIÀ MARTÍN Geila,1520.5432160116168,4,5.14,7.06,14.25,1509.47,1525.95
CAULIER Chloe,1519.5602673083079,9,2.17,4.55,20.33,1499.07,1519.56
Coscoy Cloe,1515.3461799589334,9,1.71,4.07,21.56,1506.54,1517.21
DEBEVEC Katja,1515.0395617497957,6,2.51,7.2,15.67,1504.57,1515.04
RICHARDSON Madison,1511.824061944881,8,1.48,8.86,20.25,1496.2,1516.12
SEO Chaehyun,1511.4638615051035,8,1.43,9.22,16.38,1498.8,1515.69
STASIUK Maya,1507.984226060207,2,3.99,16.22,9.0,1507.98,1515.46
OBLASSER Flora,1507.7956913901514,3,2.6,7.47,19.33,1496.86,1507.91
ELHADJ MIMOUNE Selma,1507.7925843593146,5,1.56,10.46,18.8,1498.53,1513.73
KUZUU Mashiro,1507.6773417938566,6,1.28,9.89,14.83,1507.68,1524.14
Mori Ai,1506.8401709785844,2,3.42,12.89,13.5,1506.84,1512.53
GIBERT Fanny,1506.6681082931652,1,6.67,,25.0,1506.67,1506.67
GHAFFARI Sarina,1505.9311721253218,3,1.98,1.58,33.67,1501.22,1505.93
MEUL Hannah,1505.8427362776006,2,2.92,1.24,33.0,1502.05,1505.84
YAMA Manami,1505.678139060799,1,5.68,,27.0,1505.68,1505.68
DREAMER Maya,1505.2257256098517,2,2.61,1.54,34.0,1503.7,1505.23
GILLETT Helen,1505.162579733496,7,0.74,6.28,25.71,1489.46,1505.16
SANDERS Nekaia,1504.542139847692,8,0.57,7.11,23.5,1499.73,1516.94
SAUREL Lucile,1504.1502426510078,2,2.08,14.8,14.5,1504.15,1512.54
GIACANI Stella,1503.689492687112,3,1.23,9.33,23.0,1497.92,1507.42
APEL Anna Maria,1503.0865513149422,2,1.54,2.44,17.0,1503.09,1503.27
Peetermans Zoe,1502.8673390905115,3,0.96,1.68,33.33,1499.81,1502.87
HÖNIG Afra,1501.7322352820236,9,0.19,8.61,22.78,1490.03,1506.78
Jurcenko Arina,1501.6979039040596,1,1.7,,37.0,1501.7,1501.7
BENACH ZUBERO Julia,1501.475274432566,2,0.74,5.36,35.0,1501.48,1504.53
Mason Quinn,1500.787391499382,1,0.79,,25.0,1500.79,1500.79
JURCENKO Arina,1499.9714079098867,1,-0.03,,39.0,1499.97,1499.97
TARKUS Lucija,1499.9372965478626,5,-0.01,7.23,24.0,1498.07,1510.97
Saurel Lucile,1499.771696450771,2,-0.11,12.28,18.5,1499.77,1508.57
COHEN Tamar,1499.2735620681076,2,-0.36,0.47,41.0,1499.27,1499.97
Giacani Stella,1499.1791026498709,2,-0.41,8.68,20.5,1499.18,1505.73
SMETANOVA Michaela,1498.7246375629463,1,-1.28,,43.0,1498.72,1498.72
LOOSER Noé,1498.113707925774,1,-1.89,,39.0,1498.11,1498.11
LUO Zhilu,1497.9463890746972,1,-2.05,,33.0,1497.95,1497.95
DANZIGER Ruby,1497.8492103143135,2,-1.08,1.39,29.5,1497.85,1497.94
FUNA Lina,1497.1550894488996,1,-2.84,,41.0,1497.16,1497.16
BRIGGS Evangelina,1497.070124850037,1,-2.93,,28.0,1497.07,1497.07
SCHRITTWIESER Lena,1496.8963103277274,1,-3.1,,50.0,1496.9,1496.9
HOPFENSITZ Sandra,1496.8202624298349,1,-3.18,,35.0,1496.82,1496.82
Apel Anna Maria,1496.2746867528333,2,-1.86,15.42,21.0,1496.27,1509.04
SOMMER Marilu,1496.1958148105043,1,-3.8,,43.0,1496.2,1496.2
Daziano Irina,1495.6906073663965,1,-4.31,,51.0,1495.69,1495.69
SUEZAWA Yui,1495.6411753372533,1,-4.36,,30.0,1495.64,1495.64
YOKOYAMA Sofya,1495.5747957266321,10,-0.44,9.2,20.7,1490.12,1506.89
COPAR Sara,1494.5432449294415,3,-1.82,8.67,26.67,1493.0,1504.67
FOGU Miriam,1494.2811946765294,1,-5.72,,56.0,1494.28,1494.28
CASTRO Martina,1494.2095637168457,1,-5.79,,32.0,1494.21,1494.21
GALEOVA Ema,1494.0178857766161,2,-2.99,2.43,44.0,1494.02,1498.72
KRUDER Julija,1493.7146100629832,2,-3.14,2.08,45.0,1493.71,1495.39
SLOWIK Paloma,1493.579070637301,1,-6.42,,36.0,1493.58,1493.58
KÖHLER  Anja,1493.4925273888737,1,-6.51,,33.0,1493.49,1493.49
KOBETS Anastasiia,1492.8048399261006,4,-1.8,12.1,20.75,1491.42,1505.73
MICHERI Marian Kiara Luna,1492.774757496662,1,-7.23,,34.0,1492.77,1492.77
CONTRERAS Alejandra,1492.0744722159623,1,-7.93,,59.0,1492.07,1492.07
Sommer Marilu,1492.0568684364803,1,-7.94,,59.0,1492.06,1492.06
CABEZAS Matilde,1492.0562533465293,1,-7.94,,35.0,1492.06,1492.06
BERGMANN Katharina,1492.0479894891807,1,-7.95,,59.0,1492.05,1492.05
SANTINI MIKULIĆ Anja,1492.0320117045587,1,-7.97,,59.0,1492.03,1492.03
MATUELLA Francesca,1492.0168231205284,1,-7.98,,43.0,1492.02,1492.02
YANG Jiaxuan,1492.010374450434,1,-7.99,,43.0,1492.01,1492.01
KELLEY Anna,1491.7473128765707,3,-2.75,7.28,40.0,1486.33,1494.9
Madere Maya,1491.6009436642978,1,-8.4,,39.0,1491.6,1491.6
WIENAND Roxana,1491.2444945610628,5,-1.75,8.14,31.8,1487.6,1503.27
JANECKA Bianka,1491.19095857887,1,-8.81,,61.0,1491.19,1491.19
ROY Babette,1490.8954942883483,3,-3.03,4.03,46.33,1489.51,1496.01
TENG Vanessa Si Yinn,1490.8746544666392,1,-9.13,,46.0,1490.87,1490.87
SCHIFFELEERS Amber,1490.8706137963463,3,-3.04,6.57,45.67,1486.36,1493.71
STERRER Franziska,1490.6134596743252,1,-9.39,,40.0,1490.61,1490.61
CASTILLO Lianet,1490.4434127431105,1,-9.56,,66.0,1490.44,1490.44
Zajc Neza,1490.1351313524967,1,-9.86,,63.0,1490.14,1490.14
KÜMIN Andrea,1490.042406957798,2,-4.98,0.66,49.0,1490.04,1494.55
CLARK Adriene Akiko,1489.9901686461835,8,-1.25,9.2,23.38,1486.78,1505.78
HANGGI CORREIA Mariana,1489.9557131228746,2,-5.02,3.97,43.0,1489.96,1497.78
FRANKEN Ariane,1489.8326812701432,1,-10.17,,67.0,1489.83,1489.83
KONECNA Viktorie,1489.2980641843444,1,-10.7,,66.0,1489.3,1489.3
KARLSBRUN Ada,1488.9545198330661,1,-11.05,,43.0,1488.95,1488.95
YAO Ting-Chen,1488.8862514052644,1,-11.11,,49.0,1488.89,1488.89
MOHD NASRAN Shareen,1488.8772753957364,1,-11.12,,49.0,1488.88,1488.88
PAAROVA Natalie,1488.6615142341939,1,-11.34,,67.0,1488.66,1488.66
Willy Sina,1488.6205576439763,1,-11.38,,69.0,1488.62,1488.62
DE LA VEGA Mariam,1488.6140094517216,1,-11.39,,69.0,1488.61,1488.61
FOLKMANN Agnes Matthildur,1488.6074574940674,1,-11.39,,69.0,1488.61,1488.61
COUTURE Jil,1488.474042675536,1,-11.53,,59.0,1488.47,1488.47
MENDOZA BERTRAND Miranda,1488.4530894501077,1,-11.55,,40.0,1488.45,1488.45
GUMURSKI DA ROCHA Ana Carolina,1487.7301659126344,1,-12.27,,41.0,1487.73,1487.73
Ackre Anne,1487.6083652959537,1,-12.39,,69.0,1487.61,1487.61
