name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
ANRAKU Sorato,1691.5815717165117,18,11.01,3.54,1.78,1515.77,1698.26
SCHALCK Mejdi,1644.4268937437546,18,7.51,7.18,5.56,1513.9,1644.43
LEE Dohyun,1629.6520784684944,15,8.39,7.87,3.4,1515.76,1629.65
AMAGASA Sohta,1621.0933600933622,16,6.78,6.35,7.12,1507.31,1621.09
VAN DUYSEN Hannes,1573.1649033174024,15,5.42,8.54,9.53,1490.61,1581.28
PAN Yufei,1570.0660884198905,9,7.79,8.58,9.44,1499.48,1578.16
NARASAKI Meichi,1568.8594156945956,10,6.89,5.76,7.0,1509.9,1571.75
NARASAKI Tomoa,1566.82216407863,11,6.07,5.17,11.36,1511.78,1567.98
PEHARC Anze,1554.882942057673,14,3.92,9.39,10.36,1508.17,1554.88
AKHTAR Dayan,1554.243165682838,10,5.42,8.89,10.6,1514.83,1556.77
FUJIWAKI Yuji,1550.297523270835,8,4.94,10.96,6.62,1504.34,1550.3
JENFT Paul,1549.1647796668979,13,3.78,8.55,10.0,1508.92,1549.16
MACDOUGALL Jack,1544.379357273503,7,6.34,6.86,12.57,1509.6,1551.19
DUFFY Colin,1540.4886324559611,12,3.37,8.06,14.92,1500.2,1544.91
RICHARD Samuel,1540.2592526876138,4,10.06,3.79,10.5,1515.34,1540.26
LEMAIRE Adrien,1536.3831551036908,7,5.2,5.34,18.57,1504.47,1536.38
ROBERTS Toby,1535.8686456640107,8,6.86,9.79,15.12,1509.72,1554.85
SUGIMOTO Rei,1535.194480817125,7,2.93,11.89,10.14,1509.92,1535.19
MILNE Maximillian,1532.0885873580394,7,5.39,9.35,12.0,1509.33,1537.76
UZNIK Nicolai,1529.9639478718918,6,2.89,11.05,14.67,1504.11,1529.96
LEMAGNER Thomas,1523.6150664626196,8,2.95,6.58,18.88,1501.14,1523.62
AVEZOU Sam,1523.5481812870876,6,3.92,6.45,17.83,1508.97,1523.55
POSCH Jan-Luca,1522.8546834741971,11,2.08,9.42,17.27,1503.86,1526.05
SANO Daiki,1521.4559046914717,4,5.36,7.55,25.25,1516.02,1523.1
PEINADO FRANGANILLO Guillermo,1521.3421876742434,5,4.27,8.9,18.0,1505.05,1531.46
PRIHED Oren,1520.9639296295709,8,2.62,11.07,16.25,1507.76,1534.0
CHON Jongwon,1518.6860240343005,4,4.67,6.69,13.25,1503.19,1519.65
MCARTHUR Hamish,1518.6605654607438,4,4.67,2.96,17.5,1504.4,1518.66
SUGIMOTO Yusuke,1518.5102679301897,5,3.7,8.41,20.6,1503.19,1518.51
MOKROLUSKY Lukas,1518.3813748520686,3,6.13,4.73,22.67,1502.28,1518.38
GIRARD Antoine,1517.7287612179857,3,5.91,3.64,22.0,1509.52,1517.73
ROMŠAK Timotej,1517.6799021605707,4,4.42,2.05,31.0,1501.52,1517.68
BAUDRAND Oscar,1516.9975913623089,7,2.43,3.67,28.86,1501.3,1517.0
BERTONE Max,1515.0321651500008,2,7.52,6.72,12.0,1512.27,1515.03
CORNU Manuel,1514.9950011774672,3,5.0,6.52,20.33,1506.08,1515.0
BRAND Paul,1514.986497188032,4,3.75,7.04,26.5,1503.67,1515.92
ARRIAGADA KRÜGER Elias,1513.1146577149714,8,1.64,6.1,23.62,1500.55,1513.28
ONDRA Adam,1512.974094427011,2,6.49,10.59,11.0,1512.97,1513.97
RUSEV Nikolay,1512.950437273037,8,1.62,8.94,20.75,1498.5,1514.49
SARTIRANA Nicolò,1511.4593625123196,7,1.64,4.13,31.43,1498.76,1511.54
XU Ziqi,1510.8073513243555,5,2.16,4.75,32.6,1505.59,1513.94
YAMAGUCHI Kento,1509.8774434084953,5,1.98,10.97,20.0,1506.89,1524.61
BLOEM Thorben Perry,1509.6883682810867,6,1.61,6.86,27.33,1497.66,1509.69
CHAN Cheung-Chi Shoji,1508.8097380216263,2,4.4,8.21,18.5,1508.81,1510.21
TUSNÁDY Nimród Sebestyén,1508.6155581685598,1,8.62,,27.0,1508.62,1508.62
BARK Adi,1504.4432559004886,3,1.48,12.8,19.33,1503.62,1516.7
UZNIK Timo,1503.9602390148261,1,3.96,,43.0,1503.96,1503.96
FAN Chih-En,1503.8341767694378,2,1.92,7.86,36.5,1496.36,1503.83
BOLDRINI Luca,1503.7592637728085,2,1.88,12.6,19.0,1503.76,1510.79
Moutault Noé,1503.5150390673814,1,3.52,,36.0,1503.52,1503.52
PEREIRA Bharath,1503.0143748960897,3,1.0,3.15,42.33,1501.0,1503.53
FARKAS Tamás,1502.792018272191,1,2.79,,47.0,1502.79,1502.79
YAO Jinwei,1502.5757252294502,1,2.58,,29.0,1502.58,1502.58
PARE Maxim,1502.4402698064562,3,0.81,6.65,45.67,1496.88,1503.66
HOFHERR Andreas,1502.088222114533,3,0.7,5.72,42.67,1499.16,1506.19
WÜRTHNER Tim,1502.075712328483,5,0.42,8.54,26.4,1496.88,1512.65
KURIC Peter,1502.0610678401927,1,2.06,,49.0,1502.06,1502.06
CHON Yejun,1502.0441265844852,4,0.51,5.9,42.5,1492.28,1502.04
COLLIN Nicolas,1501.5338800270315,8,0.19,7.27,31.25,1499.95,1513.66
FLUERARU Dragoș Gabriel,1501.4998380040433,1,1.5,,41.0,1501.5,1501.5
Waller Zander,1501.2500107959142,3,0.42,12.64,19.33,1498.62,1511.8
WIMMER Julian,1501.2439888459407,9,0.14,9.79,26.67,1493.96,1517.41
HO FOGANHOLO Felipe,1501.1677010412998,1,1.17,,26.0,1501.17,1501.17
RÂPĂ Darius,1501.1470216935743,1,1.15,,31.0,1501.15,1501.15
BAI Xuanpu,1501.1454465383629,1,1.15,,31.0,1501.15,1501.15
PARKS Dylan,1500.5498571325898,5,0.11,2.5,41.4,1499.08,1503.19
REUSA Matteo,1500.4614514022169,2,0.23,10.96,22.0,1500.46,1507.98
MYRONENKO Mykyta,1500.4487932122724,1,0.45,,53.0,1500.45,1500.45
Salimian Ali,1500.4480143549551,1,0.45,,53.0,1500.45,1500.45
STRAUBHAAR Levin,1500.2677183476342,4,0.07,8.72,34.5,1494.6,1504.65
INTRACHUPONGSE Ardch,1499.8603501056593,6,-0.02,6.13,35.17,1494.4,1504.32
