name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P1_LowZone,P2_Top,P2_Zone,P2_LowZone,P3_Top,P3_Zone,P3_LowZone,P4_Top,P4_Zone,P4_LowZone,Route_1
ANRAKU Sorato,JPN,1,184.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,2,1,1.0,1,1,1,X,1,1,1,1,1,TOP
ROBERTS Toby,GBR,2,164.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,2,2,1,X,X,3,1,1,1,TOP
DUFFY Colin,USA,3,157.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,6,5,1,X,7,1,45+
NARASAKI Tomoa,JPN,4,148.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,2.0,1,1,1,3,1,1,1,1,1,39
SCHUBERT Jakob,AUT,5,144.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,X,X,2,X,X,2,TOP
ONDRA Adam,CZE,6,144.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,2,1,1.0,3,3,1,X,1,1,X,X,7,43
LEE Dohyun,KOR,7,129.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,2.0,1,1,1,X,4,1,1,1,1,38+
JENFT Paul,FRA,8,126.3,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,3,1.0,3,3,2,2,1,1,3,3,2,32
SCHALCK Mejdi,FRA,9,125.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,5,5.0,1,1,1,3,1,1,6,2,2,32
YURIKUSA Ao,JPN,10,121.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,2,2,2,X,X,1,5,2,2,37+
BAILEY Sean,USA,11,111.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,3,2,1,X,2,1,3,1,1,32
FLOHÉ Yannick,GER,12,109.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,X,X,1,X,3,2,38+
MEGOS Alexander,GER,13,106.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,1.0,1,1,1,X,2,1,X,X,1,37+
MAWEM Mickael,FRA,14,105.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,X,2,1,5,4,1,30+
LEHMANN Sascha,SUI,15,101.2,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,X,,2,2,2,X,4,1,X,6,2,37+
NARASAKI Meichi,JPN,16,97.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,X,3,1,1,1,1,27
OGATA Yoshiyuki,JPN,17,92.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,1,1,1,X,8,2,X,6,2,31
UZNIK Nicolai,AUT,18,91.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,2,1,1,X,X,2,X,4,2,32+
SONG Yunchan,KOR,19,91.2,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,4,4.0,X,1,1,X,X,2,X,6,6,37+
AVEZOU Sam,FRA,20,82.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1.0,X,1,1,X,2,1,3,1,1,27
