name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time
HUNT Emma,USA,1,- (6.36),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.498,False,-
KALUCKA Natalia,POL,2,- (6.44),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.765,False,-
DENG Lijuan,CHN,3,- (6.50),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.509,False,-
ZHOU Yafei,CHN,4,- (6.56),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.704,False,-
QIN Yumei,CHN,5,- (6.73),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.734,False,-
ZHANG Shaoqin,CHN,6,- (6.79),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,7.03,False,-
MENG Shixue,CHN,7,- (6.85),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.855,False,-
RANDI  Giulia,ITA,8,- (7.16),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,7.169,False,-
KELLY Piper,USA,9,7.23 (7.02),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.238,,
ULZHABAYEVA Tamara,KAZ,10,7.22,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.225,,
COLLI Beatrice,ITA,11,7.23,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.233,,
CHUDZIAK Patrycja,POL,12,7.23,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.233,,
ROMERO PÉREZ Leslie Adriana,ESP,13,7.29,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.294,,
ROJAS Andrea,ECU,14,7.83 (7.35),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.833,,
YANG Mi,CHN,15,10.78 (7.42),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,10.789,,
ROTHFORK Isis,USA,16,9.41 (7.49),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,9.411,,
