name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
MCNEICE Erin,GBR,1,TOP,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,TOP
SANDERS Annie,USA,1,TOP,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,TOP
SEO Chaehyun,KOR,1,TOP,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,TOP
ROGORA Laura,ITA,4,TOP,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,TOP
MACKENZIE Oceania,AUS,5,41+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,41+
ZHANG Yuetong,CHN,6,41+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,41+
APEL Anna Maria,GER,7,41+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,41+
JANICOT Hélène,FRA,8,41+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,41+
KRAMPL Mia,SLO,9,40,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,40
COPAR Sara,SLO,10,39+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,39+
Rekar Rosa,SLO,11,39+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,39+
BUCKLEY Jennifer Eucharia,SLO,12,39,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,39
PÖTZI Mattea,AUT,13,37+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,37+
SIRUCKOVA Tereza,CZE,14,37,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,37
DOUMONT Heloïse,BEL,15,36,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,36
KIM Chaeyeong,KOR,16,34+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,34+
KIM Juha,KOR,17,34+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,34+
LINTANG CAHYANI Sukma,INA,18,33,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,33
OBLASSER Flora,AUT,19,31+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,31+
SCOLARIS Ilaria,ITA,20,31+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,31+
Madere Maya,USA,21,24+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,24+
ODA Natsumi,JPN,22,24+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,24+
TANII Natsuki,JPN,23,23+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,23+
LUKAN Vita,SLO,24,23+,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Lead,Women,Semi-final,2025-04-25,/api/v1/category_rounds/9958/results,/api/v1/events/1406/result/5,23+
