name,event,year,date,discipline,gender,round,rank,elo_before,elo_after,elo_change,competed
AMAGASA Sohta,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Qualification,19.0,1500.0,1507.312813358733,7.312813358732809,True
VAN DUYSEN Hannes,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Qualification,21.0,1500.0,1506.3676442078802,6.367644207880261,True
PAN Yufei,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Qualification,36.0,1500.0,1499.4761365235775,-0.5238634764224843,True
LEE Dohyun,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,1.0,1515.7611940298507,1531.5135365765027,15.752342546652024,True
ANRAKU Sorato,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,2.0,1515.7720198853242,1530.1640565647385,14.392036679414291,True
SCHALCK Mejdi,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,3.0,1513.9023272015013,1527.0216684123445,13.119341210843132,True
NARASAKI Meichi,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,6.0,1509.9017389843916,1519.1105752994065,9.208836315014848,True
NARASAKI Tomoa,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,7.0,1511.7804330631964,1518.8305170619658,7.050083998769367,True
AMAGASA Sohta,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,9.0,1507.312813358733,1512.5186218889958,5.20580853026294,True
AKHTAR Dayan,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,10.0,1514.827629285929,1518.2916594351082,3.464030149179141,True
PEHARC Anze,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,16.0,1512.965555318862,1508.1739559623863,-4.791599356475702,True
VAN DUYSEN Hannes,IFSC World Cup Keqiao 2025,2025,2025-04-18,Boulder,Men,Semi-final,24.0,1506.3676442078802,1490.609122403021,-15.758521804859205,True
ANRAKU Sorato,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Final,1.0,1573.6815540632776,1587.818008751418,14.136454688140226,True
SCHALCK Mejdi,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Final,2.0,1541.3300212189954,1552.6797014228057,11.349680203810202,True
NARASAKI Tomoa,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Final,3.0,1546.834511243178,1553.3986851296297,6.564173886451669,True
AMAGASA Sohta,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Final,4.0,1535.5270748592177,1538.1560211416727,2.628946282455012,True
PEHARC Anze,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Final,6.0,1529.3673657998525,1523.18438514357,-6.182980656282474,True
ANRAKU Sorato,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,1.0,1545.825524626944,1559.797032515435,13.971507888490985,True
AMAGASA Sohta,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,3.0,1512.5186218889958,1526.609761403363,14.0911395143674,True
VAN DUYSEN Hannes,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,5.0,1490.609122403021,1504.8770442647724,14.267921861751358,True
NARASAKI Tomoa,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,7.0,1521.5975415617525,1532.9834314998207,11.385889938068301,True
NARASAKI Meichi,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,9.0,1526.3864507907062,1536.6958059425742,10.309355151868061,True
PEHARC Anze,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,10.0,1508.1739559623863,1518.761583479103,10.58762751671667,True
SCHALCK Mejdi,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Qualification,20.0,1524.8048122580162,1528.5750718980287,3.770259640012368,True
ANRAKU Sorato,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,1.0,1559.797032515435,1573.6815540632776,13.884521547842777,True
NARASAKI Tomoa,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,2.0,1532.9834314998207,1546.834511243178,13.85107974335739,True
SCHALCK Mejdi,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,3.0,1528.5750718980287,1541.3300212189954,12.75494932096662,True
PEHARC Anze,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,5.0,1518.761583479103,1529.3673657998525,10.60578232074951,True
AMAGASA Sohta,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,6.0,1526.609761403363,1535.5270748592177,8.917313455854499,True
NARASAKI Meichi,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,9.0,1536.6958059425742,1541.176114066968,4.480308124393898,True
VAN DUYSEN Hannes,IFSC World Cup Curitiba 2025,2025,2025-05-16,Boulder,Men,Semi-final,15.0,1504.8770442647724,1502.9055267781675,-1.9715174866047969,True
ANRAKU Sorato,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Final,1.0,1611.4137155308651,1624.6965700041494,13.28285447328418,True
AMAGASA Sohta,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Final,2.0,1559.7805514152178,1571.2599062821555,11.479354866937673,True
LEE Dohyun,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Final,3.0,1562.7899618441184,1569.6160879061724,6.826126062054111,True
NARASAKI Meichi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Final,5.0,1561.0577342905829,1558.9058667045908,-2.1518675859919925,True
SCHALCK Mejdi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Final,6.0,1572.7678832827314,1565.4183021774063,-7.3495811053251385,True
NARASAKI Meichi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,1.0,1541.176114066968,1555.2909275384927,14.1148134715247,True
ANRAKU Sorato,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,3.0,1587.818008751418,1598.7903237947728,10.972315043354817,True
AMAGASA Sohta,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,5.0,1538.1560211416727,1550.353397518626,12.197376376953436,True
PEHARC Anze,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,7.0,1523.18438514357,1535.0473574185849,11.862972275014991,True
VAN DUYSEN Hannes,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,7.0,1502.9055267781675,1515.722992194205,12.81746541603762,True
SCHALCK Mejdi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,11.0,1552.6797014228057,1561.1151383079086,8.435436885102867,True
AKHTAR Dayan,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,11.0,1518.2916594351082,1528.3265649138473,10.034905478739045,True
LEE Dohyun,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,16.0,1542.6355765949181,1549.2074980276159,6.571921432697852,True
NARASAKI Tomoa,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Qualification,19.0,1553.3986851296297,1557.130687856091,3.7320027264614244,True
ANRAKU Sorato,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,1.0,1598.7903237947728,1611.4137155308651,12.623391736092307,True
LEE Dohyun,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,2.0,1549.2074980276159,1562.7899618441184,13.582463816502372,True
SCHALCK Mejdi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,3.0,1561.1151383079086,1572.7678832827314,11.652744974822829,True
AMAGASA Sohta,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,5.0,1550.353397518626,1559.7805514152178,9.427153896591806,True
NARASAKI Meichi,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,7.0,1555.2909275384927,1561.0577342905829,5.7668067520901065,True
NARASAKI Tomoa,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,10.0,1557.130687856091,1558.659742530795,1.5290546747040066,True
AKHTAR Dayan,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,12.0,1528.3265649138473,1529.1526193851719,0.8260544713246434,True
VAN DUYSEN Hannes,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,13.0,1515.722992194205,1515.760926872292,0.03793467808687134,True
PEHARC Anze,IFSC World Cup Salt Lake City 2025,2025,2025-05-23,Boulder,Men,Semi-final,18.0,1535.0473574185849,1527.178092857789,-7.869264560795931,True
SCHALCK Mejdi,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,1.0,1590.1894428367912,1605.0696133728086,14.880170536017467,True
ANRAKU Sorato,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,2.0,1644.2482510721643,1651.9023920951952,7.654141023030858,True
AMAGASA Sohta,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,4.0,1590.8836674223624,1592.219565636192,1.3358982138296658,True
PAN Yufei,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,5.0,1525.9684860811615,1526.0954478439808,0.12696176281926608,True
VAN DUYSEN Hannes,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,6.0,1533.6955607586576,1528.856731133149,-4.838829625508724,True
LEE Dohyun,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,7.0,1592.2427029349835,1579.7727257269096,-12.46997720807399,True
PEHARC Anze,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Final,8.0,1547.6413270870378,1532.8290888333868,-14.812238253651005,True
LEE Dohyun,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,1.0,1569.6160879061724,1582.4356233899584,12.81953548378597,True
SCHALCK Mejdi,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,3.0,1565.4183021774063,1577.7448271653222,12.326524987915922,True
PAN Yufei,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,5.0,1499.4761365235775,1514.1578257973308,14.68168927375346,True
ANRAKU Sorato,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,7.0,1624.6965700041494,1633.0910103652643,8.394440361114905,True
