name,event,year,date,discipline,gender,round,rank,elo_before,elo_after,elo_change,competed
Kokorin Stanislav,Initial Rating,2009,2009-04-18,Speed,Men,N/A,,1500.0,1500.0,0.0,False
Kokorin Stanislav,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2009,2009-04-18,Speed,Men,Final,16.0,1500.2036970234717,1484.5053396478354,-15.698357375636252,True
Kokorin Stanislav,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2009,2009-04-18,Speed,Men,Qualification,12.0,1500.0,1500.2036970234717,0.2036970234717188,True
Hroza Libor,Initial Rating,2009,2009-04-25,Speed,Men,N/A,,1500.0,1500.0,0.0,False
Zhong QiXin,Initial Rating,2009,2009-04-25,Speed,Men,N/A,,1500.0,1500.0,0.0,False
Zhong QiXin,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Final,3.0,1504.591719583508,1516.6700155493113,12.078295965803377,True
Kokorin Stanislav,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Final,4.0,1488.395234050064,1499.1687057802294,10.77347173016557,True
Hroza Libor,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Final,6.0,1514.6308502224629,1519.9064033383218,5.275553115858807,True
Hroza Libor,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Qualification,2.0,1500.0,1514.6308502224629,14.630850222462863,True
Zhong QiXin,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Qualification,9.0,1500.0,1504.591719583508,4.591719583507991,True
Kokorin Stanislav,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,2009,2009-04-25,Speed,Men,Qualification,10.0,1484.5053396478354,1488.395234050064,3.889894402228566,True
Zhong QiXin,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Final,1.0,1532.0875080612352,1547.7512468979687,15.663738836733407,True
Hroza Libor,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Final,8.0,1530.8644711635568,1531.8533807110252,0.9889095474684637,True
Kokorin Stanislav,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Final,15.0,1506.765837704053,1493.8934224145005,-12.872415289552384,True
Zhong QiXin,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Qualification,1.0,1516.6700155493113,1532.0875080612352,15.417492511923951,True
Hroza Libor,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Qualification,8.0,1519.9064033383218,1530.8644711635568,10.958067825235043,True
Kokorin Stanislav,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,2009-06-30,Speed,Men,Qualification,15.0,1499.1687057802294,1506.765837704053,7.597131923823653,True
Zhong QiXin,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Final,1.0,1561.9821006878535,1576.4894027756336,14.507302087780118,True
Hroza Libor,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Final,6.0,1545.9331577032997,1550.7165739272991,4.7834162239995335,True
Kokorin Stanislav,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Final,7.0,1504.367984902337,1509.0575354980394,4.6895505957025625,True
Zhong QiXin,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Qualification,1.0,1547.7512468979687,1561.9821006878535,14.230853789884716,True
Hroza Libor,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Qualification,2.0,1531.8533807110252,1545.9331577032997,14.079776992274518,True
Kokorin Stanislav,IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,2009,2009-06-30,Speed,Men,Qualification,8.0,1493.8934224145005,1504.367984902337,10.474562487836561,True
Hroza Libor,"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2009,2009-07-12,Speed,Men,Final,3.0,1561.3207964976104,1570.9154363335983,9.594639835987842,True
Kokorin Stanislav,"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2009,2009-07-12,Speed,Men,Final,10.0,1512.3591622973227,1508.4243954791125,-3.9347668182102007,True
Hroza Libor,"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2009,2009-07-12,Speed,Men,Qualification,3.0,1550.7165739272991,1561.3207964976104,10.604222570311233,True
Kokorin Stanislav,"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2009,2009-07-12,Speed,Men,Qualification,8.0,1509.0575354980394,1512.3591622973227,3.3016267992832566,True
Hroza Libor,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,2009,2009-08-01,Speed,Men,Final,1.0,1577.4015271792464,1591.8913831101727,14.489855930926403,True
Kokorin Stanislav,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,2009,2009-08-01,Speed,Men,Final,5.0,1515.6596755702656,1515.326794573373,-0.33288099689246176,True
Hroza Libor,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,2009,2009-08-01,Speed,Men,Qualification,4.0,1570.9154363335983,1577.4015271792464,6.48609084564816,True
Kokorin Stanislav,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,2009,2009-08-01,Speed,Men,Qualification,5.0,1508.4243954791125,1515.6596755702656,7.2352800911529975,True
