name,date,elo,year,competed,record_type
Eiter Angela,2007-05-11,1500.0,2007,False,competition
Eiter Angela,2007-06-15,1563.4237262105244,2007,True,competition
Eiter Angela,2007-07-11,1581.5662579598911,2007,True,competition
Eiter Angela,2007-08-11,1593.8246455747724,2007,True,competition
Eiter Angela,2007-09-17,1626.2098185611198,2007,True,competition
Eiter Angela,2007-09-28,1654.5216473685553,2007,True,competition
Eiter Angela,2007-10-13,1656.0708127887954,2007,True,competition
Eiter Angela,2007-11-02,1673.9096497741104,2007,True,competition
Eiter Angela,2007-11-17,1685.2620814407417,2007,True,competition
Eiter Angela,2007-12-31,1679.6369818717417,2007,True,year_end
Eiter Angela,2008-06-27,1686.8912271362044,2008,True,competition
Eiter Angela,2008-07-12,1692.4137387509752,2008,True,competition
Eiter Angela,2008-09-12,1703.9050302434084,2008,True,competition
Eiter Angela,2008-12-31,1705.6025176411556,2008,True,year_end
Eiter Angela,2009-06-30,1703.8306096039641,2009,True,competition
Eiter Angela,2009-07-12,1707.9953818600195,2009,True,competition
Eiter Angela,2009-08-08,1730.0240270333597,2009,True,competition
Eiter Angela,2009-08-21,1748.6940977418592,2009,True,competition
Eiter Angela,2009-09-25,1744.4878842246894,2009,True,competition
Eiter Angela,2009-11-06,1728.4844391768272,2009,True,competition
Eiter Angela,2009-11-14,1716.3485224471565,2009,True,competition
Eiter Angela,2009-12-31,1724.9179870402777,2009,True,year_end
Eiter Angela,2010-07-12,1719.9464427797245,2010,True,competition
Eiter Angela,2010-08-20,1732.4005634164862,2010,True,competition
Eiter Angela,2010-08-28,1742.9797932527983,2010,True,competition
Eiter Angela,2010-09-24,1761.2229543175968,2010,True,competition
Eiter Angela,2010-10-29,1779.176370071681,2010,True,competition
Eiter Angela,2010-11-13,1784.2130599777227,2010,True,competition
Eiter Angela,2010-12-31,1790.4558360929345,2010,True,year_end
Eiter Angela,2011-07-12,1796.2748179224998,2011,True,competition
Eiter Angela,2011-07-15,1816.0443347911594,2011,True,competition
Eiter Angela,2011-07-20,1825.4311117452278,2011,True,competition
Eiter Angela,2011-07-29,1832.022223135503,2011,True,competition
Eiter Angela,2011-09-30,1848.3292699802712,2011,True,competition
Eiter Angela,2011-10-08,1827.2514053380687,2011,True,competition
Eiter Angela,2011-10-28,1820.930499595741,2011,True,competition
Eiter Angela,2011-11-19,1819.0292620664438,2011,True,competition
Eiter Angela,2011-11-26,1831.3371929367765,2011,True,competition
Eiter Angela,2011-12-31,1836.9406152430636,2011,True,year_end
Eiter Angela,2012-08-10,1840.7825836369477,2012,True,competition
Eiter Angela,2012-09-12,1849.7221862165845,2012,True,competition
Eiter Angela,2012-12-31,1853.2874063640834,2012,True,year_end
Ernst Johanna,2008-06-27,1500.0,2008,False,competition
Ernst Johanna,2008-07-12,1575.8766321050337,2008,True,competition
Ernst Johanna,2008-09-12,1609.3836208843536,2008,True,competition
Ernst Johanna,2008-09-19,1637.8682917976137,2008,True,competition
Ernst Johanna,2008-09-26,1656.878251635529,2008,True,competition
Ernst Johanna,2008-11-15,1687.2665143607142,2008,True,competition
Ernst Johanna,2008-12-31,1697.4969867127486,2008,True,year_end
Ernst Johanna,2009-06-30,1717.5247828543393,2009,True,competition
Ernst Johanna,2009-07-12,1743.9728791127286,2009,True,competition
Ernst Johanna,2009-08-08,1752.984502356582,2009,True,competition
Ernst Johanna,2009-08-21,1748.863910520763,2009,True,competition
Ernst Johanna,2009-09-25,1766.582829786799,2009,True,competition
