name,date,elo,year,competed,record_type
Jaubert Anouck,2011-04-14,1500.0,2011,False,competition
Jaubert Anouck,2011-07-12,1526.4403940762502,2011,True,competition
Jaubert Anouck,2011-07-15,1525.8390332674992,2011,True,competition
Jaubert Anouck,2011-12-31,1536.9309472251357,2011,True,year_end
Jaubert Anouck,2012-04-13,1514.7042527836625,2012,True,competition
Jaubert Anouck,2012-07-12,1534.1747277335485,2012,True,competition
Jaubert Anouck,2012-09-12,1543.2544841378822,2012,True,competition
Jaubert Anouck,2012-10-12,1532.8287035959909,2012,True,competition
Jaubert Anouck,2012-10-20,1539.5462702684847,2012,True,competition
Jaubert Anouck,2012-12-31,1543.1716132200008,2012,True,year_end
Jaubert Anouck,2013-03-22,1559.9408627876264,2013,True,competition
Jaubert Anouck,2013-06-22,1569.5950933636927,2013,True,competition
Jaubert Anouck,2013-09-07,1590.5978231809747,2013,True,competition
Jaubert Anouck,2013-09-27,1598.7203433963316,2013,True,competition
Jaubert Anouck,2013-10-11,1589.138285738561,2013,True,competition
Jaubert Anouck,2013-10-15,1603.2799213255382,2013,True,competition
Jaubert Anouck,2013-10-19,1603.4528913541258,2013,True,competition
Jaubert Anouck,2013-12-31,1603.6454095984066,2013,True,year_end
Jaubert Anouck,2014-04-26,1624.1065445422396,2014,True,competition
Jaubert Anouck,2014-05-03,1643.0268021897934,2014,True,competition
Jaubert Anouck,2014-06-20,1659.387503630687,2014,True,competition
Jaubert Anouck,2014-07-10,1675.2986554482254,2014,True,competition
Jaubert Anouck,2014-08-30,1694.8586443719716,2014,True,competition
Jaubert Anouck,2014-09-08,1685.1498436415777,2014,True,competition
Jaubert Anouck,2014-10-11,1688.7114248037224,2014,True,competition
Jaubert Anouck,2014-10-18,1708.7089463752673,2014,True,competition
Jaubert Anouck,2014-12-31,1700.9242275446368,2014,True,year_end
Jaubert Anouck,2015-05-17,1720.1866708306172,2015,True,competition
Jaubert Anouck,2015-06-20,1728.9316556482509,2015,True,competition
Jaubert Anouck,2015-06-26,1741.5116637894573,2015,True,competition
Jaubert Anouck,2015-07-10,1758.8866546177596,2015,True,competition
Jaubert Anouck,2015-10-17,1772.9019869063306,2015,True,competition
Jaubert Anouck,2015-12-31,1765.3625221668037,2015,True,year_end
Jaubert Anouck,2016-04-30,1775.441696685034,2016,True,competition
Jaubert Anouck,2016-05-07,1774.5451548976293,2016,True,competition
Jaubert Anouck,2016-07-11,1788.094978074471,2016,True,competition
Jaubert Anouck,2016-07-15,1800.4907674386661,2016,True,competition
Jaubert Anouck,2016-08-26,1810.4731524192066,2016,True,competition
Jaubert Anouck,2016-09-14,1819.7788944840527,2016,True,competition
Jaubert Anouck,2016-10-18,1829.43984114774,2016,True,competition
Jaubert Anouck,2016-10-22,1835.50094382335,2016,True,competition
Jaubert Anouck,2016-12-31,1835.426623914277,2016,True,year_end
Jaubert Anouck,2017-04-22,1840.102300042378,2017,True,competition
Jaubert Anouck,2017-04-29,1847.0459042522177,2017,True,competition
Jaubert Anouck,2017-07-07,1857.9466188066156,2017,True,competition
Jaubert Anouck,2017-08-25,1868.5552292765417,2017,True,competition
Jaubert Anouck,2017-09-23,1879.4926882348668,2017,True,competition
Jaubert Anouck,2017-10-07,1883.7348254688204,2017,True,competition
Jaubert Anouck,2017-10-14,1892.56269293122,2017,True,competition
Jaubert Anouck,2017-12-31,1887.5222380559853,2017,True,year_end
Jaubert Anouck,2018-04-21,1901.8427477213293,2018,True,competition
Jaubert Anouck,2018-05-05,1894.9817879277352,2018,True,competition
Jaubert Anouck,2018-05-12,1904.108891739607,2018,True,competition
Jaubert Anouck,2018-07-06,1912.0097571841748,2018,True,competition
Jaubert Anouck,2018-07-11,1899.2458729006844,2018,True,competition
Jaubert Anouck,2018-07-27,1903.7298344646667,2018,True,competition
Jaubert Anouck,2018-09-06,1882.7801209432298,2018,True,competition
Jaubert Anouck,2018-10-20,1887.6281529043056,2018,True,competition
Jaubert Anouck,2018-10-27,1893.659605252403,2018,True,competition
Jaubert Anouck,2018-12-31,1891.3062789327219,2018,True,year_end
Jaubert Anouck,2019-04-12,1899.1786210856806,2019,True,competition
Jaubert Anouck,2019-04-26,1900.8038133739706,2019,True,competition
Jaubert Anouck,2019-05-03,1904.8747702548642,2019,True,competition
Jaubert Anouck,2019-07-04,1912.6154715224172,2019,True,competition
Jaubert Anouck,2019-07-11,1884.0239712994364,2019,True,competition
Jaubert Anouck,2019-08-11,1889.6787715139858,2019,True,competition
Jaubert Anouck,2019-10-18,1891.5337005154875,2019,True,competition
Jaubert Anouck,2019-12-31,1892.4958327636082,2019,True,year_end
Jaubert Anouck,2021-07-01,1884.348679951065,2021,True,competition
Jaubert Anouck,2021-12-31,1892.2511079613141,2021,True,year_end
Kalucka Aleksandra,2018-04-21,1500.0,2018,False,competition
Kalucka Aleksandra,2018-07-11,1540.4076106915704,2018,True,competition
Kalucka Aleksandra,2018-07-27,1566.5119067898443,2018,True,competition
Kalucka Aleksandra,2018-09-06,1591.669073531495,2018,True,competition
Kalucka Aleksandra,2018-12-31,1579.214678441093,2018,True,year_end
Kalucka Aleksandra,2019-04-12,1605.7036166004036,2019,True,competition
Kalucka Aleksandra,2019-04-26,1601.8258336344911,2019,True,competition
Kalucka Aleksandra,2019-05-03,1611.1189016488674,2019,True,competition
Kalucka Aleksandra,2019-07-04,1607.7470837882827,2019,True,competition
Kalucka Aleksandra,2019-07-11,1630.9684705121783,2019,True,competition
Kalucka Aleksandra,2019-08-11,1646.2605172476076,2019,True,competition
Kalucka Aleksandra,2019-10-18,1645.68983445082,2019,True,competition
Kalucka Aleksandra,2019-12-31,1645.68983445082,2019,True,year_end
