name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
Zurloni Matteo,ITA,1,4.978 (ER),IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,4.978,5.931
LONG JIANGUO,CHN,2,4.979,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.056,4.979
Watson Samuel,USA,3,5.03,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,6.934,5.032
WANG XINSHANG,CHN,4,5.07,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.075,5.166
Maimuratov Amir,KAZ,5,5.11,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,9.19,5.113
Fossali Ludovico,ITA,6,5.14,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,DNF,5.144
Tkach Yaroslav,UKR,7,5.16,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.248,5.167
ZHANG LIANG,CHN,8,5.19,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.194,5.346
OMASA Ryo,JPN,9,5.215,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.274,5.215
Noya Cardona Erik,ESP,10,5.219,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.219,5.221
Rebreyend Pierre,FRA,11,5.23,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.406,5.231
Ilchyshyn Hryhorii,UKR,12,5.254,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.302,5.254
JUNG Yongjun,KOR,13,5.257,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.273,5.257
FUJINO Shuto,JPN,14,5.29,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.292,8.362
Zodda Gian Luca,ITA,15,5.30,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.368,5.303
Toktarov Damir,KAZ,16,5.360,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.36,5.452
Robbiati Luca,ITA,17,5.367,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.367,7.883
Lucke Sebastian,GER,18,5.37,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,6.109,5.373
Moro Guillaume,FRA,19,5.400,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,DNF,5.4
TANII Kazuki,JPN,20,5.408,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,DNF,5.408
Lin YU,CHN,21,5.409,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,DNF,5.409
Amon Kevin,AUT,22,5.43,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,6.785,5.431
David Julian,NZL,23,5.44 (5.533) (OcR),IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.449,5.533
Knapp Lukas,AUT,24,5.44 (9.121),IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Speed,Men,Qualification,2024-07-12,/api/v1/category_rounds/8520/results,/api/v1/events/1357/result/2,5.449,9.121
