name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Garnbret Janja,SLO,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP
LUO ZHILU,CHN,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP
Rogora Laura,ITA,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP
Hily Manon,FRA,4,3.46,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,43+,TOP
SEO Chaehyun,KOR,5,5.05,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,TOP
Thompson-Smith Molly,GBR,6,7.14,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,44+
KIM Jain,KOR,7,8.25,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,42+
ITO Futaba,JPN,8,9.22,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41+
Nonaka Miho,JPN,8,9.22,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41+
Janicot Hélène,FRA,10,10.71,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41
Zhang YUETONG,CHN,11,12.69,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,43+
Gejo Stasa,SRB,12,12.71,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,36
Pötzi Mattea,AUT,13,13.5,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,38+,41
