name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
MCNEICE Erin,GBR,1,5T5z 10 8,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,1,1,3,2,1,1,4,3
GROSSMAN Natalia,USA,1,5T5z 7 6,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,2,1,1,1,2,2,1,1,1,1
AVEZOU Zélia,FRA,3,4T5z 8 8,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,2,1,1,1,3,3,2,2,X,1
BUCKLEY Jennifer Eucharia,SLO,3,5T5z 8 5,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,2,1,1,1,1,1,1,1,3,1
MATSUFUJI Anon,JPN,5,5T5z 11 9,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,1,1,3,3,1,1,5,3
DEBEVEC Katja,SLO,5,4T5z 10 12,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,2,1,2,1,4,2,2,2,X,6
NAKAMURA Mao,JPN,7,5T5z 21 14,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,1,1,8,8,4,2,7,2
MACKENZIE Oceania,AUS,7,4T4z 9 5,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,4,1,2,1,1,1,2,2,X,X
MEIGNAN Naïlé,FRA,9,4T4z 10 7,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,3,2,2,1,X,X,2,2,3,2
SEO Chaehyun,KOR,9,3T5z 7 14,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,3,1,1,1,X,2,3,3,X,7
APEL Anna Maria,GER,11,3T5z 8 9,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,4,2,3,1,X,4,1,1,X,1
KÜMIN Andrea,SUI,11,4T4z 11 9,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,2,2,X,X,4,3,4,3
SEKIKAWA Melody,JPN,13,3T5z 7 12,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,X,4,1,1,2,2,4,4,X,1
YOKOYAMA Sofya,SUI,13,3T3z 6 4,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,4,2,X,X,1,1,X,X
KEREM Ayala,ISR,15,3T3z 6 6,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,1,1,2,2,X,X,3,3,X,X
ELHADJ MIMOUNE Selma,FRA,15,3T5z 9 18,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Women,Qualification,2024-09-20,/api/v1/category_rounds/8529/results,/api/v1/events/1360/result/7,X,1,1,1,X,9,2,2,6,5
