name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
MINER Logan,USA,28,6.11,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.89,6.117
Le Dylan,CAN,29,6.16,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.271,6.168
CHICAIZA DAVILA Tomas,ECU,30,6.17,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.31,6.17
FALL Matthew,GBR,31,6.20,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.415,6.2
UEGAKI Ginta,JPN,32,6.22,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.222,7.872
Homan Evan,USA,33,6.67,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.674,6.887
Johnston Ned,NZL,34,6.92,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.238,6.928
Egg Pedro,BRA,35,6.99,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.993,8.412
Chisholm Flynn,NZL,36,7.04,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,8.108,7.046
PUERTA WONG Kenu,PER,37,8.55,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,9.17,8.556
Knapp Lukas,AUT,38,FALSE START,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,DNS,DNS
