name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
ANRAKU Sorato,JPN,1,1.73,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,44+,41+
Roberts Toby,GBR,2,2.74,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,44+,38
OMATA Shion,JPN,3,3.67,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,44+,36+
LEE Dohyun,KOR,4,4.74,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,44+,35+
HOMMA Taisei,JPN,5,5.48,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,39+,38
Utelli Jonas,SUI,6,6.24,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,44+,32+
YURIKUSA Ao,JPN,7,6.54,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,40+,36+
Lehmann Sascha,SUI,8,7.5,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,42+,35+
MURASHITA Zento,JPN,9,7.75,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,43,33+
YOSHIDA Satone,JPN,10,8.44,IFSC World Cup Koper 2024,1359,2024,Koper,Lead,Men,Qualification,2024-09-06,/api/v1/category_rounds/8526/results,/api/v1/events/1359/result/1,40+,35+
