name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
KIM Jain,KOR,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP
KOTAKE Mei,JPN,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP
MORI Ai,JPN,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP
PILZ Jessica,AUT,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP
TOTKOVA Aleksandra,BUL,5,7.75,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,42,TOP
PÖTZI Mattea,AUT,6,8.37,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,41+,TOP
KRAMPL Mia,SLO,7,9.49,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,39+,TOP
AVEZOU Zélia,FRA,8,11.29,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,42+,43+
KOBETS Anastasiia,UKR,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP
LUKAN Vita,SLO,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP
Sanders Anastasia,USA,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP
TAKAO Tomona,JPN,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP
EGLI Liv,SUI,13,13.6,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36,TOP
ODA Natsumi,JPN,14,14.14,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,35+,TOP
Mackenzie Oceania,AUS,15,14.66,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,34+,TOP
COPAR Sara,SLO,16,15.65,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,TOP
POUGET Camille,FRA,16,15.65,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,TOP
PLASSOUX DJIGA Ina,FRA,18,16.73,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,31+,TOP
JANICOT Hélène,FRA,19,16.84,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,46+
TANII Natsuki,JPN,19,16.84,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,46+
DOUMONT Heloïse,BEL,21,18.55,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,43+
KIM Juha,KOR,22,18.57,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,28+,TOP
OBLASSER Flora,AUT,23,19.6,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,40+,35
TARKUS Lucija,SLO,24,21.72,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36,43+
NAKAMURA Mao,JPN,25,22.05,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,38+
VAN DER MEER Lynn,NED,26,23.24,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,12+,TOP
FRANGOS Rebecca,CAN,27,25.38,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,31+,44
MIYAJIMA Momoka,JPN,28,26.92,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,28+,46+
Rekar Rosa,SLO,29,27.24,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,34+,41+
MACIÀ MARTÍN Geila,ESP,30,27.34,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,42+
