name,event,year,discipline,gender,round,rank,elo_before,elo_after,elo_change
Grossman Natalia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,1.0,1500.0,1516.0,16.0
Moroni Camilla,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,2.0,1500.0,1509.7472613587045,9.7472613587044
Gejo Stasa,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,3.0,1500.0,1503.4370134075227,3.437013407522678
Krasovskaia Elena,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,4.0,1500.0,1497.068668438268,-2.931331561731911
Raboutou Brooke,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,5.0,1500.0,1490.6416705174433,-9.35832948255657
Kümin Andrea,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Final,6.0,1500.0,1484.1554979564967,-15.84450204350325
Grossman Natalia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,1.0,1516.0,1531.0551461687535,15.055146168753403
Raboutou Brooke,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,1.0,1490.6416705174433,1506.887079107916,16.24540859047271
Gibert Fanny,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,3.0,1500.0,1515.0185793859127,15.018579385912677
Meshkova Viktoriia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,3.0,1500.0,1515.0272193943522,15.027219394352283
Gejo Stasa,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,5.0,1503.4370134075227,1517.5126505733524,14.075637165829749
Caulier Chloe,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,5.0,1500.0,1514.243958490665,14.243958490664932
Cullen Kylie,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,7.0,1500.0,1513.452153381511,13.45215338151082
Krasovskaia Elena,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,7.0,1497.068668438268,1510.665199396948,13.596530958679978
Moroni Camilla,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,9.0,1509.7472613587045,1521.9606775620232,12.213416203318664
Rekabi Elnaz,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,9.0,1500.0,1512.674733291539,12.674733291539008
Nakamura Mao,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,11.0,1500.0,1511.8820262195457,11.882026219545647
Lukan Vita,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,11.0,1500.0,1511.8888633983076,11.888863398307635
Rakovec Lucka,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,13.0,1500.0,1511.0957045082637,11.095704508263784
Tanii Natsuki,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,13.0,1500.0,1511.1020895386453,11.102089538645243
Färber Johanna,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,15.0,1500.0,1510.3084782407973,10.308478240797347
Kerem Ayala,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,15.0,1500.0,1510.314410537209,10.314410537208815
Sterrer Franziska,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,17.0,1500.0,1509.5203462455183,9.520346245518432
