name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo,discipline,era_name,gender
MacDougall Jack,1540.0874095920308,8,5.01,8.35,20.88,1498.32,1540.09,Boulder,IFSC,Men
PAN YUFEI,1539.8456245890377,10,3.98,7.3,31.4,1507.58,1539.85,Boulder,IFSC,Men
Bombardi Marcello,1539.8255074968645,24,1.66,5.86,31.04,1493.9,1561.44,Boulder,IFSC,Men
Lechner Mario,1539.4247837377231,13,3.03,9.16,15.85,1491.42,1543.55,Boulder,IFSC,Men
YOSHIDA Satone,1539.2298060992025,13,3.02,7.9,23.46,1505.27,1541.76,Boulder,IFSC,Men
Schweiger Christoph,1539.0487364897308,10,3.9,7.17,34.7,1486.97,1539.05,Boulder,IFSC,Men
Novitskiy Yury,1538.8642250880523,19,2.05,5.23,20.63,1498.97,1549.69,Boulder,IFSC,Men
Scarperi Stefan,1538.530987088629,46,0.84,7.26,20.13,1483.52,1556.43,Boulder,IFSC,Men
Klingler Florian,1538.1473280559126,20,1.91,6.27,30.05,1501.07,1548.84,Boulder,IFSC,Men
JENFT Paul,1537.1746364131784,5,7.43,3.02,13.8,1507.76,1537.17,Boulder,IFSC,Men
Lightner Kai,1537.0243380579732,7,5.29,7.79,18.0,1488.76,1537.02,Boulder,IFSC,Men
Luzhetskii Sergei,1536.601012857097,15,2.44,7.22,27.87,1494.58,1536.6,Boulder,IFSC,Men
Shahar Adam,1536.089561553648,6,6.01,6.45,18.17,1499.18,1537.48,Boulder,IFSC,Men
Ter-Minasyan Arman,1535.892354507026,25,1.44,6.35,20.52,1485.7,1547.35,Boulder,IFSC,Men
Lopez Mateos Eric,1535.787394287158,23,1.56,7.76,22.74,1488.85,1545.78,Boulder,IFSC,Men
Caminati Michele,1534.5532091105797,24,1.44,8.91,14.12,1490.11,1538.45,Boulder,IFSC,Men
Earl Andrew,1534.3352424554134,3,11.45,9.37,5.0,1500.67,1534.34,Boulder,IFSC,Men
Parry Gareth,1533.9371153043332,28,1.21,8.86,15.86,1503.51,1538.22,Boulder,IFSC,Men
Parma Georg,1533.5721626323284,21,1.6,4.94,27.24,1499.04,1533.57,Boulder,IFSC,Men
Fulkerson Ross,1533.5279636736775,15,2.24,9.49,30.93,1490.68,1538.92,Boulder,IFSC,Men
Vorotnikov Vasya,1533.512192294029,8,4.19,3.31,16.38,1502.37,1533.51,Boulder,IFSC,Men
Iarilovets Nikolai,1533.4704078098302,11,3.04,5.05,30.27,1497.29,1534.34,Boulder,IFSC,Men
Levin Geva,1533.4187933738913,14,2.39,5.0,39.79,1502.48,1533.42,Boulder,IFSC,Men
Roberts Aidan,1532.755646609506,10,3.28,5.08,21.8,1500.3,1532.76,Boulder,IFSC,Men
Ten Sijthoff Casper,1532.1463789570455,29,1.11,7.41,18.83,1490.17,1541.74,Boulder,IFSC,Men
YAMAGUCHI Kento,1531.9616400324144,6,5.33,7.52,24.33,1511.49,1538.17,Boulder,IFSC,Men
Samoilov Fedir,1531.5359642231358,14,2.25,4.49,38.36,1500.85,1537.62,Boulder,IFSC,Men
Kotar Matic,1531.0366832615082,9,3.45,5.08,37.56,1494.44,1532.25,Boulder,IFSC,Men
INOUE Yuji,1530.9425193786838,9,3.44,10.22,15.44,1496.8,1536.03,Boulder,IFSC,Men
Blaser Benjamin,1530.431063853216,51,0.6,7.73,22.31,1460.33,1537.84,Boulder,IFSC,Men
UZNIK Nicolai,1530.113525609026,8,3.76,9.65,14.25,1511.82,1541.34,Boulder,IFSC,Men
Andersson Daniel,1529.4278665614386,16,1.84,7.37,18.12,1491.26,1529.43,Boulder,IFSC,Men
Raboutou Shawn,1528.8984943142264,6,4.82,3.71,16.5,1506.75,1528.9,Boulder,IFSC,Men
Sugita Masatoshi,1527.6336989733932,21,1.32,6.61,17.57,1510.22,1534.02,Boulder,IFSC,Men
Sanchez González Ignacio,1527.620455347149,30,0.92,7.21,18.67,1484.26,1545.14,Boulder,IFSC,Men
YURIKUSA Ao,1527.175259554825,4,6.79,3.16,32.5,1510.86,1527.18,Boulder,IFSC,Men
Ghisolfi Stefano,1527.040078513306,23,1.18,7.47,21.83,1488.76,1531.18,Boulder,IFSC,Men
Avezou Leo,1525.84635538843,12,2.15,6.24,31.25,1510.71,1538.9,Boulder,IFSC,Men
AVEZOU Sam,1525.842144462697,4,6.46,10.05,8.5,1516.52,1531.18,Boulder,IFSC,Men
Baudrand Oscar,1525.661657113044,13,1.97,5.26,44.15,1483.38,1525.66,Boulder,IFSC,Men
RICHARD Samuel,1525.3707612903302,5,5.07,8.98,14.4,1503.38,1525.37,Boulder,IFSC,Men
LEMAGNER Thomas,1525.270903335459,4,6.32,8.21,10.0,1512.38,1525.27,Boulder,IFSC,Men
Huerta Mauricio,1524.949421807161,31,0.8,7.16,20.13,1477.6,1560.27,Boulder,IFSC,Men
Scherz Stefan,1524.5556641778958,4,6.14,3.3,34.0,1510.29,1524.56,Boulder,IFSC,Men
KAWAMATA Rei,1524.500198186875,3,5.38,12.16,4.33,1514.74,1524.5,Boulder,IFSC,Men
Countryman Dillon,1523.8845132615172,8,2.99,6.86,31.62,1501.08,1526.12,Boulder,IFSC,Men
Vandeputte Antoine,1523.831863462976,8,2.98,8.83,16.25,1490.6,1534.31,Boulder,IFSC,Men
LORENZI Simon,1523.780887741709,5,4.76,5.58,17.0,1505.51,1524.27,Boulder,IFSC,Men
Piazza Riccardo,1523.2093726133828,20,1.16,5.65,24.7,1495.17,1525.44,Boulder,IFSC,Men
Oleksy Tomasz,1523.1637964126758,17,1.36,6.46,17.47,1505.82,1550.56,Boulder,IFSC,Men
Son Sangwon,1522.749808601418,13,1.75,9.86,13.46,1508.5,1533.18,Boulder,IFSC,Men
Chernikov Mikhail,1522.6659940913953,18,1.26,5.22,19.06,1507.83,1537.9,Boulder,IFSC,Men
Kryachkov Egor,1522.5183104867883,3,7.51,1.22,22.33,1506.31,1522.52,Boulder,IFSC,Men
Sharma Chris,1522.439008045675,2,11.22,6.35,5.5,1515.71,1522.44,Boulder,IFSC,Men
Waterhouse Alex,1522.038652016342,5,4.41,5.39,43.4,1507.69,1526.96,Boulder,IFSC,Men
Mogaki Keita,1521.6331943427683,24,0.9,9.77,15.79,1488.99,1552.73,Boulder,IFSC,Men
Martin Philipp,1521.5632893306963,14,1.54,6.6,28.5,1494.12,1530.93,Boulder,IFSC,Men
YAMADA Kodai,1521.4667110280093,5,4.29,2.73,28.6,1502.33,1521.47,Boulder,IFSC,Men
FULKERSON Ross,1521.4245512633645,5,1.35,10.91,16.0,1498.32,1521.42,Boulder,IFSC,Men
AKHTAR Dayan,1521.4056359049705,8,2.94,9.05,17.5,1496.17,1523.5,Boulder,IFSC,Men
Geiman Austin,1521.3684876713014,16,1.34,5.03,24.19,1494.46,1523.07,Boulder,IFSC,Men
IMAIZUMI Yuta,1521.1689988504845,3,7.06,2.58,26.0,1505.44,1521.17,Boulder,IFSC,Men
Jubes Angarita Marco Antonio,1521.0922003600106,14,1.51,8.01,17.71,1508.89,1540.88,Boulder,IFSC,Men
van Laere Don,1520.7288495518285,9,2.3,5.14,40.11,1496.6,1520.73,Boulder,IFSC,Men
Kleshnov Stanislav,1520.7065766666267,14,1.48,7.4,21.93,1500.95,1545.33,Boulder,IFSC,Men
Baltrunas Kipras,1520.1549137397733,26,0.78,7.3,27.65,1463.62,1527.46,Boulder,IFSC,Men
Shimatani Naoki,1520.107569045685,3,6.7,4.7,14.0,1502.41,1520.11,Boulder,IFSC,Men
MEGOS Alexander,1519.9186302384214,4,4.98,8.76,9.5,1513.69,1526.13,Boulder,IFSC,Men
Lebreton Olivier,1519.1994475286997,9,2.13,7.02,15.89,1504.66,1523.35,Boulder,IFSC,Men
Bautista Julian,1518.8538144892746,4,4.71,6.22,13.0,1499.7,1518.85,Boulder,IFSC,Men
Shimizu Atsushi,1518.6726502365595,25,0.75,7.75,19.4,1500.06,1542.18,Boulder,IFSC,Men
Kaurov Ivan,1518.552598920306,6,3.09,6.42,18.67,1502.66,1518.55,Boulder,IFSC,Men
Comina Fabien,1518.5144213838655,15,1.23,7.56,15.87,1500.44,1528.61,Boulder,IFSC,Men
Favot leo,1518.3845882352873,3,6.13,7.32,21.67,1513.65,1518.38,Boulder,IFSC,Men
VEZONIK Gregor,1518.172572276417,8,2.27,10.51,15.75,1494.39,1519.78,Boulder,IFSC,Men
Kirov Slav,1518.1338076986713,8,2.27,2.95,48.75,1503.02,1518.13,Boulder,IFSC,Men
Nomine Baptiste,1517.9010969185813,14,1.28,6.93,21.43,1470.64,1517.9,Boulder,IFSC,Men
Primozic Urban,1517.4367233799885,4,4.36,8.81,13.0,1504.11,1519.22,Boulder,IFSC,Men
Sudar Zan,1517.4010532532047,7,2.49,5.21,29.14,1492.17,1517.4,Boulder,IFSC,Men
GALLA Zach,1517.3450437150511,6,2.89,8.73,14.5,1500.37,1521.83,Boulder,IFSC,Men
Auersperg Ilja,1517.2787853573266,2,8.64,0.7,33.0,1509.14,1517.28,Boulder,IFSC,Men
Jongeneelen Wouter,1516.7080566249394,58,0.29,8.16,17.81,1486.41,1552.79,Boulder,IFSC,Men
NICOULEAU BOURLES Jules,1516.3110188263531,4,4.08,3.22,25.25,1507.09,1516.78,Boulder,IFSC,Men
Waller Zander,1516.055155580996,3,5.35,5.22,13.67,1502.22,1516.06,Boulder,IFSC,Men
Le Cerf Pierre,1516.0524993381862,2,8.03,3.11,30.0,1505.83,1516.05,Boulder,IFSC,Men
Becan Jure,1515.894242219643,18,0.88,7.03,18.28,1494.49,1519.56,Boulder,IFSC,Men
FUJIWAKI Yuji,1515.5541013679672,6,2.59,10.0,14.83,1513.78,1527.54,Boulder,IFSC,Men
Nitta Tatsumi,1515.541846969826,2,7.77,2.32,13.5,1506.13,1515.54,Boulder,IFSC,Men
Ghidini Stefano,1515.4868174611925,9,1.72,8.17,26.33,1490.22,1527.87,Boulder,IFSC,Men
SONG Yunchan,1515.2869491461197,7,2.18,5.61,43.57,1501.59,1515.29,Boulder,IFSC,Men
COLEMAN Nathaniel,1515.2658469702878,3,5.09,4.39,14.0,1504.33,1515.27,Boulder,IFSC,Men
FLOHÉ Yannick,1515.2353436745816,5,3.05,11.42,13.8,1494.39,1515.24,Boulder,IFSC,Men
ARRIAGADA KRÜGER Elias,1514.642843995986,7,2.09,9.79,24.14,1486.09,1515.0,Boulder,IFSC,Men
