name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo,discipline,era_name,gender
Lee Minyoung,1514.4505301647475,4,3.61,7.57,24.75,1496.86,1514.45,Boulder,IFSC,Men
HOFHERR Andreas,1514.446862268941,2,7.22,1.84,26.0,1508.53,1514.45,Boulder,IFSC,Men
Arc Kevin,1514.2338784673468,2,7.12,2.85,16.0,1505.1,1514.23,Boulder,IFSC,Men
MAWEM Mickael,1513.8238426136363,3,4.61,7.38,14.33,1513.11,1514.05,Boulder,IFSC,Men
RUSEV Nikolay,1513.6418710040818,4,3.41,6.03,28.5,1505.05,1513.64,Boulder,IFSC,Men
Denayer Rob,1513.6190506476023,2,6.81,0.6,24.0,1507.24,1513.62,Boulder,IFSC,Men
Lerner Zach,1513.1973672012978,5,2.64,6.03,18.0,1497.87,1515.5,Boulder,IFSC,Men
Ernsberger Ellis,1512.9430837333794,5,2.59,8.93,26.6,1507.76,1523.95,Boulder,IFSC,Men
McQueen Sam,1512.4790757406613,2,6.24,7.19,11.0,1511.32,1512.48,Boulder,IFSC,Men
Potocar Luka,1512.435673393589,7,1.78,6.96,38.71,1493.29,1513.61,Boulder,IFSC,Men
Wills Colin,1512.2014979882372,2,6.1,6.12,22.0,1510.43,1512.2,Boulder,IFSC,Men
Watson Adam,1512.1139517075974,4,3.03,6.65,16.75,1496.99,1513.15,Boulder,IFSC,Men
Marschner Kim,1512.0681377257556,17,0.71,6.5,30.47,1480.09,1512.07,Boulder,IFSC,Men
Difelice Andre,1512.0217417501703,15,0.8,6.56,19.6,1488.93,1519.71,Boulder,IFSC,Men
LEE SUNGSU,1511.845911622311,2,5.92,5.07,30.5,1502.34,1511.85,Boulder,IFSC,Men
Ozawa Shinta,1511.5287981414472,12,0.96,6.79,19.25,1487.35,1515.74,Boulder,IFSC,Men
Ben reuven Yotam,1511.4948328795906,5,2.3,7.42,40.4,1489.33,1511.49,Boulder,IFSC,Men
KIROV Slav,1511.110423356365,3,3.7,6.92,24.33,1511.04,1511.68,Boulder,IFSC,Men
Owen Kyle,1510.702157414078,8,1.34,9.0,17.12,1497.77,1521.79,Boulder,IFSC,Men
Firnenburg Ruben,1510.633818060542,3,3.54,1.84,28.33,1503.23,1510.63,Boulder,IFSC,Men
Marin Garcia Eduard,1510.544584937669,2,5.27,5.72,16.0,1501.23,1510.54,Boulder,IFSC,Men
Januel Nicolas,1510.5241859066912,6,1.75,6.02,22.5,1507.54,1514.01,Boulder,IFSC,Men
Hanna Benjamin,1510.5222953913403,20,0.53,7.08,34.5,1470.18,1529.42,Boulder,IFSC,Men
Dixon Peter,1510.4362991729697,5,2.09,5.39,23.4,1497.94,1511.66,Boulder,IFSC,Men
Kitae YUYA,1509.8883110976,2,4.94,5.82,19.0,1500.83,1509.89,Boulder,IFSC,Men
Hemund Kevin,1509.87821169707,36,0.27,6.99,23.25,1449.59,1513.97,Boulder,IFSC,Men
Vogt Stephan,1509.8641667858392,1,9.86,,17.0,1509.86,1509.86,Boulder,IFSC,Men
MARTINI Kito,1509.682675996619,3,3.23,3.75,33.0,1499.19,1509.68,Boulder,IFSC,Men
Hoppe Markus,1509.548170806905,24,0.4,8.03,16.92,1502.93,1528.75,Boulder,IFSC,Men
Haertl Dominik,1509.3595613478371,3,3.12,7.44,32.33,1494.53,1509.36,Boulder,IFSC,Men
Macias Matutano Bruno,1509.2504914762883,15,0.62,7.28,21.27,1499.11,1523.43,Boulder,IFSC,Men
Palma Alessandro,1509.178845200018,7,1.31,8.38,27.57,1480.89,1509.18,Boulder,IFSC,Men
SARTIRANA Nicolò,1508.886026925021,5,1.78,9.41,25.8,1491.79,1511.94,Boulder,IFSC,Men
Le Bris Arthur,1508.7952773453603,2,4.4,1.11,42.0,1503.61,1508.8,Boulder,IFSC,Men
Pokusayev Oleg,1508.7592209581971,2,4.38,4.63,25.0,1507.65,1508.76,Boulder,IFSC,Men
Badia Nicolas,1508.412535680333,17,0.49,6.43,19.0,1508.41,1526.54,Boulder,IFSC,Men
Lemagner Thomas,1508.3693450163405,2,4.18,9.15,13.5,1508.37,1510.65,Boulder,IFSC,Men
Lemaire Adrien,1508.1890195686906,2,4.09,1.69,38.0,1502.9,1508.19,Boulder,IFSC,Men
GRUZITIS Edvards,1508.1717500068462,3,2.72,2.44,36.67,1499.91,1508.17,Boulder,IFSC,Men
Hofherr Andreas,1507.9669945565122,1,7.97,,33.0,1507.97,1507.97,Boulder,IFSC,Men
Usobiaga Lakunza Patxi,1507.7807831198952,1,7.78,,11.0,1507.78,1507.78,Boulder,IFSC,Men
PICCOLRUAZ Michael,1507.6724829525,4,1.92,6.41,20.75,1501.81,1508.74,Boulder,IFSC,Men
LEE Sungsu,1507.623992321472,2,3.81,5.16,38.0,1507.46,1507.62,Boulder,IFSC,Men
ROMŠAK Timotej,1507.5112198005445,3,2.5,10.68,18.67,1507.51,1517.32,Boulder,IFSC,Men
de Kock Arjan,1507.494173613454,1,7.49,,11.0,1507.49,1507.49,Boulder,IFSC,Men
Casado Emilien,1507.4934544401276,1,7.49,,37.0,1507.49,1507.49,Boulder,IFSC,Men
SHIMADA Soya,1507.4293114105983,1,7.43,,20.0,1507.43,1507.43,Boulder,IFSC,Men
Callender Nigel,1507.334260624135,6,1.22,7.55,22.17,1489.45,1507.33,Boulder,IFSC,Men
LEHMANN Sascha,1507.3076537371585,4,1.83,4.1,32.25,1500.77,1507.31,Boulder,IFSC,Men
Dugit Fabien,1507.24055623654,5,1.45,9.29,18.8,1502.22,1512.46,Boulder,IFSC,Men
König Matthias,1507.1049341015014,3,2.37,2.34,26.67,1503.01,1507.1,Boulder,IFSC,Men
WATERHOUSE Alex,1507.0910794433048,4,1.77,8.66,24.75,1496.64,1513.9,Boulder,IFSC,Men
Sartirana Nicolò,1506.9209400104253,1,6.92,,31.0,1506.92,1506.92,Boulder,IFSC,Men
Wimmer Julian,1506.656019917704,1,6.66,,38.0,1506.66,1506.66,Boulder,IFSC,Men
Kameyama Ryohei,1506.645319058197,4,1.66,6.59,23.5,1496.74,1506.65,Boulder,IFSC,Men
Higuchi Masahiro,1506.6033718617016,6,1.1,8.11,16.5,1493.86,1510.88,Boulder,IFSC,Men
Prinz Max,1506.5369682683104,11,0.59,5.44,30.55,1490.1,1506.54,Boulder,IFSC,Men
DUFFY Colin,1506.470945212367,5,1.29,8.37,17.8,1501.28,1511.94,Boulder,IFSC,Men
PEINADO FRANGANILLO Guillermo,1506.4524568868082,3,2.15,13.31,20.33,1506.45,1516.41,Boulder,IFSC,Men
LEMAIRE Adrien,1506.4452737646673,2,3.22,2.74,33.0,1501.28,1506.45,Boulder,IFSC,Men
Fultz Matt,1506.2811033821342,3,2.09,11.35,16.67,1501.94,1515.45,Boulder,IFSC,Men
Anglin Will,1506.2497826198808,1,6.25,,12.0,1506.25,1506.25,Boulder,IFSC,Men
Musha Tomoki,1506.2469327189476,2,3.12,1.31,19.0,1504.05,1506.25,Boulder,IFSC,Men
BRAND Paul,1506.2242735904429,2,3.11,4.53,39.0,1499.91,1506.22,Boulder,IFSC,Men
MCARTHUR Hamish,1506.2113730975448,2,3.11,14.23,11.0,1506.21,1513.17,Boulder,IFSC,Men
RAMADHAN RAVIANTO,1506.1990058591364,1,6.2,,25.0,1506.2,1506.2,Boulder,IFSC,Men
Heiniger Kevin,1506.1002581731263,32,0.19,6.67,28.41,1487.95,1525.59,Boulder,IFSC,Men
Duroche Pierre,1506.043606045622,10,0.6,6.55,22.6,1485.6,1506.61,Boulder,IFSC,Men
Van der Werf Roman,1505.9649910024573,1,5.96,,22.0,1505.96,1505.96,Boulder,IFSC,Men
Gozzi Marco,1505.8799492461676,1,5.88,,23.0,1505.88,1505.88,Boulder,IFSC,Men
Brand Mark,1505.8335918987204,6,0.97,4.59,53.33,1497.56,1505.83,Boulder,IFSC,Men
Schenk Filip,1505.745426685164,12,0.48,5.2,46.17,1484.84,1505.75,Boulder,IFSC,Men
Leff Isaac,1505.7060720316858,1,5.71,,37.0,1505.71,1505.71,Boulder,IFSC,Men
BLOEM Thorben Perry,1505.5361118684664,1,5.54,,30.0,1505.54,1505.54,Boulder,IFSC,Men
SONG HuaLong,1505.5130337203343,1,5.51,,29.0,1505.51,1505.51,Boulder,IFSC,Men
GINÉS LÓPEZ Alberto,1505.4859953542111,2,2.74,15.21,32.0,1491.99,1505.49,Boulder,IFSC,Men
SAKAMOTO Taiga,1505.467410983633,1,5.47,,23.0,1505.47,1505.47,Boulder,IFSC,Men
Yamauchi HIBIKI,1505.4425156772645,1,5.44,,18.0,1505.44,1505.44,Boulder,IFSC,Men
SEKIGUCHI Junta,1505.341692434993,1,5.34,,35.0,1505.34,1505.34,Boulder,IFSC,Men
Weiler Elias,1505.2434048241134,24,0.22,6.73,26.17,1467.74,1505.24,Boulder,IFSC,Men
Ternant Arthur,1505.2230195408686,2,2.61,9.11,13.5,1505.22,1509.05,Boulder,IFSC,Men
Kobata Yuta,1505.2183771327516,1,5.22,,15.0,1505.22,1505.22,Boulder,IFSC,Men
Rusev Nikolay,1505.1305103086906,12,0.43,7.77,45.0,1493.01,1516.24,Boulder,IFSC,Men
Tusnády  Nimród Sebestyén,1505.128516999494,6,0.85,3.87,61.83,1494.6,1505.13,Boulder,IFSC,Men
RUBTSOV Aleksey,1505.1079120792367,2,2.55,3.8,15.0,1505.11,1505.24,Boulder,IFSC,Men
Kazbekov Serik,1505.0742928143918,2,2.54,3.28,24.5,1500.22,1505.07,Boulder,IFSC,Men
Chae Sungjoon,1505.0727918053208,5,1.01,5.64,19.6,1493.92,1505.07,Boulder,IFSC,Men
Schilling Levin,1505.0544630403072,2,2.53,6.57,35.0,1505.05,1507.17,Boulder,IFSC,Men
LOVENJAK SUDAR Zan,1505.037647215123,1,5.04,,25.0,1505.04,1505.04,Boulder,IFSC,Men
Linacisoro Molina Mikel Asier,1505.0185795655611,13,0.39,6.11,44.92,1471.81,1505.02,Boulder,IFSC,Men
Ratajczak Philip,1504.9925930274694,2,2.5,17.78,12.0,1504.99,1515.07,Boulder,IFSC,Men
Fisher Daniel,1504.915788567487,2,2.46,7.73,18.5,1496.99,1504.92,Boulder,IFSC,Men
INTRACHUPONGSE Ardch,1504.914079089816,4,1.23,10.21,33.5,1504.91,1518.64,Boulder,IFSC,Men
Arriagada Krüger Elias,1504.90992216547,12,0.41,4.84,44.83,1496.67,1509.01,Boulder,IFSC,Men
Barron Charles,1504.8715649980995,9,0.54,7.64,27.56,1491.57,1511.08,Boulder,IFSC,Men
KLEESATTEL Max,1504.7240661574615,5,0.94,9.44,23.6,1494.98,1512.92,Boulder,IFSC,Men
