name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P1_LowZone,P2_Top,P2_Zone,P2_LowZone,P3_Top,P3_Zone,P3_LowZone,P4_Top,P4_Zone,P4_LowZone,Route_1
Mori Ai,JPN,1,183.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,7,6,3.0,X,6,1.0,7,6,2.0,2,2,2.0,TOP
Grossman Natalia,USA,2,160.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,1.0,X,2,2.0,2,2,2.0,2,2,1.0,39+
Bertone Oriane,FRA,3,159.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,2,1.0,1,1,1.0,5,5,1.0,1,1,1.0,35+
SEO Chaehyun,KOR,4,150.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,1,1.0,X,X,1.0,6,4,2.0,6,6,6.0,38+
Raboutou Brooke,USA,5,148.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,1.0,2,1,1.0,X,5,1.0,1,1,1.0,36+
Ito Futaba,JPN,6,129.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,1.0,X,1,1.0,X,X,1.0,1,1,1.0,36
Dörffel Lucia,GER,7,127.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,3,2.0,2,1,1.0,X,X,4.0,1,1,1.0,31+
Coscoy Cloe,USA,8,126.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,3,3,3.0,5,3,3.0,3,1,1.0,29+
Nonaka Miho,JPN,9,122.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,1.0,X,6,1.0,4,3,1.0,4,4,1.0,28
AOYAGI Mia,JPN,10,118.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,1.0,X,X,1.0,4,4,3.0,1,1,1.0,28
Kura Nanako,JPN,11,108.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,2,1,1.0,X,3,1.0,1,1,1.0,5,5,5.0,22
Tanii Natsuki,JPN,12,104.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,2.0,X,X,1.0,X,X,11.0,1,1,1.0,35+
Krampl Mia,SLO,13,101.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,1.0,X,4,2.0,X,X,2.0,X,X,1.0,38+
Caulier Chloe,BEL,14,97.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,3,1,1.0,X,5,1.0,X,X,3.0,4,4,1.0,26+
NAKAGAWA Ryu,JPN,15,89.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,3,1,1.0,4,3,3.0,X,5,2.0,X,X,,25+
Ota Risa,JPN,16,84.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,2.0,X,X,1.0,X,X,1.0,X,X,2.0,35+
Kümin Andrea,SUI,17,84.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,2,1.0,X,7,3.0,3,3,1.0,25+
LUO ZHILU,CHN,18,82.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,1,1.0,X,X,1.0,3,3,3.0,26+
Hily Manon,FRA,19,79.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,X,1.0,X,X,4.0,X,X,,35+
Cullen Kylie,USA,20,74.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,2,1,1.0,X,4,1.0,X,X,,25
Zhang YUETONG,CHN,21,61.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,X,2.0,X,X,1.0,X,X,,29
Lukan Vita,SLO,22,57.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,X,2.0,X,X,2.0,X,X,4.0,26
Shiran Noa,ISR,23,54.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,1.0,X,4,1.0,X,X,4.0,X,X,,25+
Yip Alannah,CAN,24,49.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,2.0,X,X,5.0,X,X,4.0,X,X,,25+
Lin Hsiu-Ju,TPE,25,35.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,,X,X,2.0,X,X,2.0,X,X,,23
Lee Hung Ying,TPE,26,33.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,5,1.0,X,X,1.0,X,X,3.0,X,X,,17+
Hanggi Correia Mariana,BRA,27,14.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,4.0,X,X,6.0,X,X,,X,X,,10+
NYAMDOO SELENGE,MGL,28,0.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,,X,X,,X,X,,X,X,,4
