name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small final_winner,small final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Good Susi,SUI,1.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Patissier Isabelle,FRA,2.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Erbesfield Robyn,USA,3.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Raybaud Nanette,FRA,4.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Hill Lynn,USA,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Richer Natalie,FRA,6.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Chereshneva Venera,RUS,7.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Dorsimond Isabelle,BEL,8.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Iovane Luisa,ITA,9.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Hirschbichler Barbara,GER,10.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Lead,Women,1991-10-01,/api/v1/events/103/result/5,1991-10-01_Frankfurt_Lead_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Lead_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Lead,Women,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
