name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small final_winner,small final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Florine Hans,USA,1.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Godoffe Jacky,FRA,2.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Rakhmetov Kairat,KAZ,3.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Marcisz Andrzej,POL,4.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Galiakbarov Raikhan,RUS,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Sutcliffe Glenn,GBR,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Baker Mark,AUS,7.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Jaeger Gregor,GER,7.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Chung Seung-Kwon,KOR,9.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Hilgers Stephan,GER,9.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Men,1991-10-01,/api/v1/events/103/result/2,1991-10-01_Frankfurt_Speed_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Men,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
