name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small final_winner,small final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Dorsimond Isabelle,BEL,1.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Brard Agnès,FRA,2.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Chereshneva Venera,RUS,3.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Inozemtseva Yulia,RUS,4.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Dijkstra Ineke,NED,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Eisenhut Andrea,GER,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Kodina Irina,RUS,5.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Gronkiewicz-Marcisz Iwona,POL,8.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Butler Felicity,GBR,9.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
Feagin Nancy,USA,10.0,,UIAA World Championship - Frankfurt 1991,103,1991,Frankfurt,Speed,Women,1991-10-01,/api/v1/events/103/result/6,1991-10-01_Frankfurt_Speed_Women_no-round.csv,1991,Results_Expanded_API/1991/1991-10-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-01,Frankfurt,Speed,Women,no-round,2025-08-30 15:32:19.900638,Speed_UIAA
