name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small final_winner,small final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Alippi Stefano,ITA,21.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Rakhmetov Kairat,KAZ,21.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Franklin Scott,USA,23.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Lissovoi Juri,RUS,24.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Samoiline Pavel,RUS,24.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Gallo Andrea,ITA,26.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Finne Jean Paul,BEL,27.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Nicole Frédéric,SUI,28.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Bucher Christoph,GER,29.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Delafield Mark,GBR,30.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
De Boeck Kurt,BEL,31.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Fadinger Michael,AUT,32.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
