Unnamed: 0,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
25,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Boulder,Women,Qualification,2010-06-17,/api/v1/category_rounds/1377/results,/api/v1/events/612/result/7
26,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Boulder,Women,Semi-Final,2010-06-17,/api/v1/category_rounds/1378/results,/api/v1/events/612/result/7
27,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Boulder,Women,Final,2010-06-17,/api/v1/category_rounds/1379/results,/api/v1/events/612/result/7
28,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Speed,Men,Qualification,2010-06-17,/api/v1/category_rounds/1385/results,/api/v1/events/612/result/2
29,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Speed,Men,Final,2010-06-17,/api/v1/category_rounds/1386/results,/api/v1/events/612/result/2
30,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Speed,Women,Qualification,2010-06-17,/api/v1/category_rounds/1380/results,/api/v1/events/612/result/6
31,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",612,2010,Moscow,Speed,Women,Final,2010-06-17,/api/v1/category_rounds/1381/results,/api/v1/events/612/result/6
32,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Men,Qualification,2010-06-25,/api/v1/category_rounds/1390/results,/api/v1/events/613/result/3
33,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Men,Semi-Final,2010-06-25,/api/v1/category_rounds/1391/results,/api/v1/events/613/result/3
34,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Men,Final,2010-06-25,/api/v1/category_rounds/1392/results,/api/v1/events/613/result/3
35,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7
36,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Semi-Final,2010-06-25,/api/v1/category_rounds/1388/results,/api/v1/events/613/result/7
37,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Final,2010-06-25,/api/v1/category_rounds/1389/results,/api/v1/events/613/result/7
38,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Men,Qualification,2010-07-03,/api/v1/category_rounds/1395/results,/api/v1/events/614/result/3
39,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Men,Final,2010-07-03,/api/v1/category_rounds/1397/results,/api/v1/events/614/result/3
40,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Men,Semi-Final,2010-07-03,/api/v1/category_rounds/1396/results,/api/v1/events/614/result/3
41,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Women,Qualification,2010-07-03,/api/v1/category_rounds/1393/results,/api/v1/events/614/result/7
42,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Women,Final,2010-07-03,/api/v1/category_rounds/1394/results,/api/v1/events/614/result/7
43,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,614,2010,Sheffield,Boulder,Women,Semi-Final,2010-07-03,/api/v1/category_rounds/9499/results,/api/v1/events/614/result/7
44,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Men,Qualification,2010-07-12,/api/v1/category_rounds/1403/results,/api/v1/events/615/result/1
45,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Men,Semi-Final,2010-07-12,/api/v1/category_rounds/1404/results,/api/v1/events/615/result/1
46,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Men,Final,2010-07-12,/api/v1/category_rounds/1405/results,/api/v1/events/615/result/1
47,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Women,Qualification,2010-07-12,/api/v1/category_rounds/1398/results,/api/v1/events/615/result/5
48,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Women,Semi-Final,2010-07-12,/api/v1/category_rounds/1399/results,/api/v1/events/615/result/5
49,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Lead,Women,Final,2010-07-12,/api/v1/category_rounds/1400/results,/api/v1/events/615/result/5
50,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Men,Qualification,2010-07-12,/api/v1/category_rounds/1406/results,/api/v1/events/615/result/2
51,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Men,Final,2010-07-12,/api/v1/category_rounds/1407/results,/api/v1/events/615/result/2
52,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6
53,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Final,2010-07-12,/api/v1/category_rounds/1402/results,/api/v1/events/615/result/6
54,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Men,Qualification,2010-07-24,/api/v1/category_rounds/1410/results,/api/v1/events/616/result/2
